imdb
data-imdb-lrn-sequential-ut-rnd-snip-first1-cal-False
IT	ACCU	AUC	T0	F1	F0	T1
10	0.587	0.739	3.000	0.000	1.000	6.000
20	0.501	0.736	1.000	3.000	0.000	6.000
30	0.501	0.751	4.000	0.000	1.000	5.000
40	0.503	0.757	5.000	0.000	0.000	5.000
50	0.500	0.761	1.000	4.000	1.000	4.000
60	0.501	0.753	3.000	1.000	2.000	4.000
70	0.504	0.760	5.000	1.000	0.000	4.000
80	0.527	0.755	6.000	1.000	1.000	2.000
90	0.537	0.760	5.000	1.000	0.000	4.000
100	0.530	0.773	4.000	1.000	0.000	5.000
110	0.562	0.779	6.000	2.000	0.000	2.000
120	0.574	0.768	5.000	2.000	0.000	3.000
130	0.619	0.779	7.000	0.000	0.000	3.000
140	0.596	0.780	3.000	3.000	0.000	4.000
150	0.600	0.775	2.000	3.000	3.000	2.000
160	0.659	0.779	5.000	1.000	3.000	1.000
170	0.647	0.774	2.000	1.000	2.000	5.000
180	0.637	0.771	3.000	2.000	1.000	4.000
190	0.664	0.773	5.000	1.000	1.000	3.000
200	0.661	0.769	5.000	1.000	0.000	4.000
210	0.689	0.773	5.000	0.000	2.000	3.000
220	0.688	0.777	2.000	1.000	2.000	5.000
230	0.702	0.788	4.000	0.000	2.000	4.000
240	0.713	0.796	3.000	0.000	2.000	5.000
250	0.694	0.796	2.000	1.000	0.000	7.000
260	0.713	0.801	6.000	0.000	1.000	3.000
270	0.712	0.800	3.000	1.000	2.000	4.000
280	0.717	0.799	4.000	1.000	2.000	3.000
290	0.727	0.810	5.000	0.000	0.000	5.000
300	0.726	0.806	3.000	2.000	3.000	2.000
310	0.724	0.802	5.000	3.000	1.000	1.000
320	0.728	0.811	3.000	0.000	0.000	7.000
330	0.736	0.813	6.000	0.000	1.000	3.000
340	0.742	0.820	4.000	0.000	1.000	5.000
350	0.734	0.815	2.000	1.000	2.000	5.000
360	0.736	0.815	5.000	0.000	1.000	4.000
370	0.734	0.812	4.000	2.000	1.000	3.000
380	0.733	0.818	2.000	2.000	0.000	6.000
390	0.738	0.819	5.000	0.000	1.000	4.000
400	0.747	0.830	4.000	1.000	1.000	4.000
410	0.749	0.833	5.000	1.000	0.000	4.000
420	0.748	0.835	2.000	1.000	1.000	6.000
430	0.749	0.837	4.000	2.000	1.000	3.000
440	0.749	0.838	2.000	1.000	2.000	5.000
450	0.751	0.834	5.000	0.000	2.000	3.000
460	0.748	0.834	3.000	1.000	0.000	6.000
470	0.750	0.834	6.000	1.000	1.000	2.000
480	0.752	0.835	6.000	2.000	1.000	1.000
490	0.747	0.830	2.000	0.000	2.000	6.000
500	0.747	0.831	3.000	0.000	2.000	5.000
510	0.747	0.830	5.000	0.000	1.000	4.000
520	0.749	0.831	2.000	1.000	3.000	4.000
530	0.755	0.836	6.000	0.000	1.000	3.000
540	0.753	0.833	7.000	0.000	1.000	2.000
550	0.751	0.834	5.000	1.000	0.000	4.000
560	0.755	0.836	4.000	1.000	1.000	4.000
