imdb
data-imdb-lrn-sequential-ut-rnd-snip-rnd-cal-False
IT	ACCU	AUC	T0	F1	F0	T1
10	0.602	0.721	3.000	0.000	1.000	6.000
20	0.556	0.703	4.000	0.000	4.000	2.000
30	0.516	0.715	4.000	0.000	3.000	3.000
40	0.514	0.721	5.000	0.000	1.000	4.000
50	0.598	0.724	3.000	2.000	0.000	5.000
60	0.656	0.717	3.000	1.000	0.000	6.000
70	0.646	0.716	5.000	1.000	1.000	3.000
80	0.617	0.716	7.000	0.000	0.000	3.000
90	0.660	0.725	3.000	3.000	0.000	4.000
100	0.648	0.705	4.000	1.000	1.000	4.000
110	0.637	0.711	6.000	2.000	1.000	1.000
120	0.634	0.695	4.000	3.000	0.000	3.000
130	0.634	0.711	7.000	0.000	0.000	3.000
140	0.654	0.723	4.000	2.000	0.000	4.000
150	0.663	0.748	4.000	1.000	2.000	3.000
160	0.648	0.735	5.000	1.000	1.000	3.000
170	0.654	0.729	3.000	0.000	1.000	6.000
180	0.669	0.739	2.000	3.000	1.000	4.000
190	0.674	0.749	5.000	1.000	1.000	3.000
200	0.680	0.754	5.000	1.000	0.000	4.000
210	0.683	0.762	5.000	0.000	1.000	4.000
220	0.686	0.759	2.000	1.000	1.000	6.000
230	0.702	0.777	3.000	1.000	0.000	6.000
240	0.707	0.787	2.000	1.000	2.000	5.000
250	0.707	0.789	3.000	0.000	1.000	6.000
260	0.717	0.799	6.000	0.000	0.000	4.000
270	0.715	0.794	4.000	0.000	2.000	4.000
280	0.723	0.803	5.000	0.000	1.000	4.000
290	0.728	0.809	4.000	1.000	3.000	2.000
300	0.730	0.809	3.000	2.000	2.000	3.000
310	0.723	0.801	4.000	4.000	0.000	2.000
320	0.728	0.806	3.000	0.000	1.000	6.000
330	0.731	0.811	5.000	1.000	0.000	4.000
340	0.739	0.818	4.000	0.000	1.000	5.000
350	0.743	0.824	2.000	1.000	2.000	5.000
360	0.747	0.829	5.000	0.000	1.000	4.000
370	0.749	0.830	4.000	2.000	2.000	2.000
380	0.750	0.829	2.000	2.000	2.000	4.000
390	0.748	0.828	4.000	1.000	0.000	5.000
400	0.750	0.831	5.000	0.000	3.000	2.000
410	0.748	0.830	6.000	0.000	1.000	3.000
420	0.752	0.833	3.000	0.000	1.000	6.000
430	0.754	0.835	4.000	2.000	0.000	4.000
440	0.755	0.835	1.000	2.000	1.000	6.000
450	0.754	0.835	3.000	2.000	0.000	5.000
460	0.754	0.838	2.000	2.000	1.000	5.000
470	0.758	0.842	6.000	1.000	0.000	3.000
480	0.762	0.844	6.000	2.000	1.000	1.000
490	0.761	0.844	2.000	0.000	3.000	5.000
500	0.764	0.845	3.000	0.000	3.000	4.000
510	0.764	0.844	5.000	0.000	0.000	5.000
520	0.765	0.846	3.000	0.000	3.000	4.000
530	0.769	0.851	6.000	0.000	0.000	4.000
540	0.769	0.850	7.000	0.000	0.000	3.000
550	0.767	0.849	5.000	1.000	1.000	3.000
560	0.771	0.854	5.000	0.000	1.000	4.000
570	0.774	0.857	5.000	2.000	0.000	3.000
580	0.772	0.856	1.000	1.000	1.000	7.000
590	0.774	0.858	5.000	0.000	2.000	3.000
600	0.773	0.859	6.000	1.000	1.000	2.000
610	0.776	0.863	5.000	0.000	1.000	4.000
620	0.778	0.864	5.000	1.000	0.000	4.000
630	0.778	0.868	3.000	0.000	3.000	4.000
640	0.780	0.869	5.000	0.000	1.000	4.000
650	0.777	0.869	5.000	2.000	2.000	1.000
660	0.769	0.869	6.000	0.000	4.000	0.000
670	0.766	0.868	3.000	0.000	3.000	4.000
680	0.771	0.868	2.000	0.000	1.000	7.000
690	0.775	0.868	4.000	2.000	0.000	4.000
700	0.774	0.867	2.000	3.000	2.000	3.000
710	0.776	0.865	3.000	1.000	1.000	5.000
720	0.774	0.865	5.000	2.000	1.000	2.000
730	0.769	0.863	3.000	2.000	4.000	1.000
740	0.768	0.865	6.000	0.000	0.000	4.000
750	0.766	0.864	5.000	2.000	1.000	2.000
760	0.766	0.863	5.000	1.000	1.000	3.000
770	0.767	0.863	3.000	3.000	1.000	3.000
780	0.769	0.864	5.000	0.000	1.000	4.000
790	0.768	0.863	3.000	3.000	1.000	3.000
800	0.768	0.863	3.000	0.000	2.000	5.000
810	0.768	0.864	4.000	0.000	2.000	4.000
820	0.772	0.863	0.000	1.000	3.000	6.000
830	0.774	0.864	3.000	1.000	1.000	5.000
840	0.771	0.862	4.000	3.000	3.000	0.000
850	0.773	0.863	4.000	0.000	0.000	6.000
860	0.769	0.861	6.000	0.000	2.000	2.000
870	0.769	0.861	5.000	1.000	1.000	3.000
880	0.773	0.863	3.000	1.000	1.000	5.000
890	0.774	0.864	5.000	1.000	0.000	4.000
900	0.774	0.864	4.000	1.000	1.000	4.000
910	0.775	0.865	2.000	2.000	2.000	4.000
920	0.777	0.866	4.000	1.000	1.000	4.000
930	0.778	0.866	2.000	1.000	0.000	7.000
940	0.778	0.865	4.000	0.000	1.000	5.000
950	0.779	0.867	4.000	0.000	1.000	5.000
960	0.779	0.868	4.000	0.000	3.000	3.000
970	0.781	0.868	3.000	1.000	0.000	6.000
980	0.783	0.870	5.000	2.000	0.000	3.000
990	0.783	0.870	2.000	2.000	2.000	4.000
1000	0.786	0.872	4.000	0.000	2.000	4.000
1010	0.787	0.873	5.000	0.000	1.000	4.000
1020	0.785	0.872	2.000	5.000	1.000	2.000
1030	0.786	0.872	6.000	0.000	1.000	3.000
1040	0.787	0.872	2.000	3.000	2.000	3.000
1050	0.787	0.871	5.000	0.000	0.000	5.000
1060	0.787	0.871	2.000	0.000	1.000	7.000
1070	0.786	0.871	4.000	0.000	1.000	5.000
1080	0.788	0.872	5.000	1.000	0.000	4.000
1090	0.789	0.873	5.000	1.000	1.000	3.000
1100	0.788	0.873	3.000	0.000	1.000	6.000
1110	0.789	0.874	4.000	1.000	0.000	5.000
1120	0.790	0.875	5.000	1.000	1.000	3.000
1130	0.790	0.875	5.000	1.000	1.000	3.000
1140	0.789	0.875	5.000	0.000	0.000	5.000
1150	0.792	0.876	2.000	2.000	0.000	6.000
1160	0.792	0.876	1.000	1.000	3.000	5.000
1170	0.792	0.876	3.000	0.000	1.000	6.000
1180	0.791	0.875	6.000	1.000	3.000	0.000
1190	0.792	0.876	2.000	2.000	0.000	6.000
1200	0.792	0.875	5.000	2.000	1.000	2.000
1210	0.791	0.875	6.000	0.000	1.000	3.000
1220	0.793	0.876	3.000	1.000	0.000	6.000
1230	0.793	0.877	3.000	0.000	0.000	7.000
1240	0.794	0.877	4.000	0.000	2.000	4.000
1250	0.794	0.877	6.000	0.000	0.000	4.000
1260	0.792	0.876	6.000	1.000	0.000	3.000
1270	0.793	0.877	6.000	2.000	1.000	1.000
1280	0.793	0.876	2.000	3.000	0.000	5.000
1290	0.793	0.876	5.000	1.000	1.000	3.000
1300	0.792	0.875	3.000	0.000	3.000	4.000
1310	0.790	0.874	4.000	2.000	0.000	4.000
1320	0.792	0.876	4.000	0.000	1.000	5.000
1330	0.792	0.876	5.000	1.000	0.000	4.000
1340	0.790	0.875	3.000	3.000	0.000	4.000
1350	0.792	0.876	3.000	1.000	0.000	6.000
1360	0.793	0.876	2.000	4.000	0.000	4.000
1370	0.792	0.876	3.000	0.000	4.000	3.000
1380	0.793	0.877	6.000	0.000	0.000	4.000
1390	0.794	0.878	4.000	1.000	1.000	4.000
1400	0.795	0.878	2.000	2.000	2.000	4.000
1410	0.795	0.879	3.000	2.000	2.000	3.000
1420	0.795	0.879	7.000	1.000	1.000	1.000
1430	0.795	0.879	5.000	0.000	2.000	3.000
1440	0.796	0.880	4.000	1.000	0.000	5.000
1450	0.797	0.880	4.000	1.000	0.000	5.000
1460	0.797	0.880	3.000	1.000	1.000	5.000
1470	0.798	0.881	5.000	1.000	0.000	4.000
1480	0.798	0.881	4.000	2.000	0.000	4.000
1490	0.798	0.881	5.000	1.000	0.000	4.000
1500	0.798	0.881	3.000	1.000	1.000	5.000
1510	0.797	0.881	5.000	1.000	3.000	1.000
1520	0.797	0.880	5.000	1.000	1.000	3.000
1530	0.799	0.881	5.000	2.000	0.000	3.000
1540	0.798	0.881	4.000	0.000	2.000	4.000
1550	0.797	0.880	5.000	0.000	2.000	3.000
1560	0.798	0.880	2.000	3.000	1.000	4.000
1570	0.798	0.880	4.000	1.000	2.000	3.000
1580	0.798	0.880	4.000	0.000	0.000	6.000
1590	0.797	0.880	3.000	0.000	5.000	2.000
1600	0.798	0.881	3.000	0.000	1.000	6.000
1610	0.798	0.880	3.000	1.000	0.000	6.000
1620	0.796	0.879	4.000	0.000	3.000	3.000
1630	0.797	0.880	2.000	0.000	0.000	8.000
1640	0.798	0.880	3.000	2.000	1.000	4.000
1650	0.798	0.881	5.000	2.000	0.000	3.000
1660	0.797	0.880	3.000	2.000	1.000	4.000
1670	0.798	0.882	4.000	2.000	1.000	3.000
1680	0.799	0.882	3.000	1.000	1.000	5.000
1690	0.799	0.882	5.000	1.000	2.000	2.000
1700	0.800	0.882	6.000	0.000	1.000	3.000
1710	0.800	0.882	3.000	3.000	0.000	4.000
1720	0.800	0.883	2.000	2.000	0.000	6.000
1730	0.801	0.883	3.000	0.000	0.000	7.000
1740	0.800	0.883	5.000	0.000	2.000	3.000
1750	0.800	0.883	3.000	1.000	1.000	5.000
1760	0.800	0.883	2.000	2.000	1.000	5.000
1770	0.800	0.882	2.000	3.000	1.000	4.000
1780	0.800	0.883	3.000	2.000	2.000	3.000
1790	0.800	0.883	4.000	1.000	0.000	5.000
1800	0.800	0.883	2.000	0.000	0.000	8.000
1810	0.800	0.883	2.000	2.000	1.000	5.000
1820	0.801	0.884	5.000	0.000	3.000	2.000
1830	0.801	0.884	3.000	0.000	2.000	5.000
1840	0.801	0.884	2.000	0.000	1.000	7.000
1850	0.801	0.884	3.000	1.000	1.000	5.000
1860	0.802	0.885	5.000	1.000	1.000	3.000
1870	0.801	0.885	4.000	2.000	1.000	3.000
1880	0.802	0.885	2.000	0.000	1.000	7.000
1890	0.801	0.885	2.000	1.000	0.000	7.000
1900	0.801	0.886	3.000	0.000	0.000	7.000
1910	0.801	0.885	2.000	1.000	3.000	4.000
1920	0.801	0.885	4.000	2.000	3.000	1.000
1930	0.801	0.886	3.000	0.000	3.000	4.000
1940	0.800	0.885	2.000	2.000	1.000	5.000
1950	0.800	0.885	4.000	2.000	1.000	3.000
1960	0.800	0.885	2.000	2.000	0.000	6.000
1970	0.800	0.885	1.000	1.000	1.000	7.000
1980	0.800	0.886	4.000	1.000	2.000	3.000
1990	0.800	0.886	3.000	0.000	3.000	4.000
2000	0.801	0.887	6.000	1.000	0.000	3.000
2010	0.801	0.887	7.000	1.000	0.000	2.000
2020	0.801	0.887	3.000	3.000	0.000	4.000
2030	0.803	0.888	3.000	0.000	1.000	6.000
2040	0.802	0.888	6.000	0.000	0.000	4.000
2050	0.803	0.888	5.000	0.000	2.000	3.000
2060	0.802	0.888	5.000	3.000	1.000	1.000
2070	0.803	0.889	2.000	0.000	3.000	5.000
2080	0.804	0.889	4.000	1.000	0.000	5.000
2090	0.803	0.889	4.000	0.000	2.000	4.000
2100	0.803	0.889	2.000	1.000	3.000	4.000
2110	0.804	0.889	5.000	0.000	2.000	3.000
2120	0.804	0.889	4.000	1.000	1.000	4.000
2130	0.804	0.890	3.000	0.000	1.000	6.000
2140	0.805	0.890	2.000	1.000	1.000	6.000
2150	0.806	0.890	5.000	0.000	2.000	3.000
