imdb
data-imdb-lrn-sequential-ut-rnd-snip-sr-cal-False
IT	ACCU	AUC	T0	F1	F0	T1
10	0.610	0.747	2.000	1.000	2.000	5.000
20	0.590	0.751	3.000	1.000	1.000	5.000
30	0.692	0.758	4.000	0.000	3.000	3.000
40	0.693	0.759	3.000	2.000	2.000	3.000
50	0.673	0.766	3.000	2.000	1.000	4.000
60	0.662	0.760	3.000	1.000	4.000	2.000
70	0.579	0.776	6.000	0.000	1.000	3.000
80	0.572	0.784	6.000	1.000	0.000	3.000
90	0.569	0.784	6.000	0.000	0.000	4.000
100	0.569	0.786	5.000	0.000	1.000	4.000
110	0.520	0.792	7.000	1.000	1.000	1.000
120	0.505	0.794	7.000	0.000	1.000	2.000
130	0.502	0.796	7.000	0.000	1.000	2.000
140	0.502	0.804	6.000	0.000	0.000	4.000
150	0.502	0.804	5.000	0.000	2.000	3.000
160	0.501	0.809	6.000	0.000	2.000	2.000
170	0.506	0.812	2.000	1.000	0.000	7.000
180	0.517	0.812	4.000	1.000	0.000	5.000
190	0.520	0.816	5.000	1.000	1.000	3.000
200	0.515	0.813	6.000	0.000	1.000	3.000
210	0.519	0.816	5.000	0.000	1.000	4.000
220	0.521	0.813	3.000	0.000	3.000	4.000
230	0.523	0.818	4.000	0.000	2.000	4.000
240	0.524	0.821	3.000	0.000	3.000	4.000
250	0.534	0.823	3.000	0.000	1.000	6.000
260	0.525	0.822	5.000	1.000	3.000	1.000
270	0.525	0.825	4.000	0.000	2.000	4.000
280	0.516	0.827	5.000	0.000	3.000	2.000
290	0.510	0.825	5.000	0.000	4.000	1.000
300	0.507	0.824	5.000	0.000	4.000	1.000
310	0.508	0.823	7.000	1.000	0.000	2.000
320	0.510	0.826	3.000	0.000	2.000	5.000
330	0.509	0.831	6.000	0.000	1.000	3.000
340	0.507	0.828	4.000	0.000	5.000	1.000
350	0.509	0.829	2.000	1.000	3.000	4.000
360	0.506	0.831	5.000	0.000	4.000	1.000
370	0.505	0.832	6.000	0.000	2.000	2.000
380	0.505	0.829	4.000	0.000	3.000	3.000
390	0.504	0.829	5.000	0.000	2.000	3.000
400	0.506	0.831	4.000	1.000	1.000	4.000
410	0.506	0.830	5.000	1.000	2.000	2.000
420	0.506	0.830	3.000	0.000	4.000	3.000
430	0.505	0.830	5.000	1.000	3.000	1.000
440	0.505	0.829	3.000	0.000	3.000	4.000
450	0.508	0.827	3.000	2.000	1.000	4.000
460	0.509	0.828	4.000	0.000	2.000	4.000
470	0.507	0.826	6.000	1.000	2.000	1.000
480	0.507	0.826	8.000	0.000	1.000	1.000
490	0.507	0.827	2.000	0.000	4.000	4.000
500	0.507	0.827	3.000	0.000	4.000	3.000
510	0.509	0.829	5.000	0.000	1.000	4.000
520	0.511	0.830	3.000	0.000	2.000	5.000
530	0.511	0.828	6.000	0.000	2.000	2.000
540	0.510	0.829	6.000	1.000	2.000	1.000
550	0.510	0.830	6.000	0.000	2.000	2.000
560	0.510	0.830	4.000	1.000	3.000	2.000
570	0.512	0.831	4.000	3.000	1.000	2.000
580	0.513	0.831	2.000	0.000	4.000	4.000
590	0.515	0.832	4.000	1.000	1.000	4.000
600	0.513	0.832	7.000	0.000	2.000	1.000
610	0.514	0.830	5.000	0.000	3.000	2.000
620	0.511	0.831	5.000	1.000	3.000	1.000
630	0.515	0.836	3.000	0.000	1.000	6.000
640	0.514	0.836	5.000	0.000	3.000	2.000
650	0.512	0.836	6.000	1.000	3.000	0.000
660	0.510	0.838	6.000	0.000	4.000	0.000
670	0.512	0.840	3.000	0.000	2.000	5.000
680	0.515	0.839	2.000	0.000	2.000	6.000
690	0.517	0.839	6.000	0.000	1.000	3.000
700	0.516	0.838	5.000	0.000	3.000	2.000
710	0.519	0.838	4.000	0.000	1.000	5.000
720	0.519	0.839	7.000	0.000	1.000	2.000
730	0.521	0.840	5.000	0.000	1.000	4.000
740	0.519	0.839	6.000	0.000	3.000	1.000
750	0.517	0.839	7.000	0.000	3.000	0.000
760	0.519	0.838	6.000	0.000	1.000	3.000
770	0.519	0.837	6.000	0.000	2.000	2.000
780	0.519	0.838	4.000	1.000	2.000	3.000
790	0.520	0.838	6.000	0.000	0.000	4.000
800	0.522	0.838	3.000	0.000	2.000	5.000
810	0.521	0.838	4.000	0.000	4.000	2.000
820	0.524	0.837	1.000	0.000	4.000	5.000
830	0.524	0.836	4.000	0.000	3.000	3.000
840	0.522	0.837	6.000	1.000	3.000	0.000
850	0.520	0.836	4.000	0.000	5.000	1.000
860	0.519	0.837	6.000	0.000	3.000	1.000
870	0.519	0.837	6.000	0.000	2.000	2.000
880	0.517	0.839	4.000	0.000	4.000	2.000
890	0.519	0.840	6.000	0.000	0.000	4.000
900	0.520	0.842	5.000	0.000	2.000	3.000
910	0.519	0.843	4.000	0.000	3.000	3.000
920	0.518	0.844	4.000	1.000	4.000	1.000
930	0.517	0.844	2.000	1.000	6.000	1.000
940	0.519	0.844	4.000	0.000	2.000	4.000
950	0.519	0.843	4.000	0.000	4.000	2.000
960	0.519	0.846	4.000	0.000	4.000	2.000
970	0.519	0.845	4.000	0.000	4.000	2.000
980	0.519	0.847	7.000	0.000	1.000	2.000
990	0.519	0.846	3.000	1.000	4.000	2.000
1000	0.520	0.848	4.000	0.000	3.000	3.000
1010	0.520	0.848	4.000	1.000	2.000	3.000
1020	0.520	0.849	5.000	2.000	2.000	1.000
1030	0.520	0.850	5.000	1.000	2.000	2.000
1040	0.520	0.850	5.000	0.000	2.000	3.000
1050	0.521	0.849	5.000	0.000	2.000	3.000
1060	0.522	0.851	2.000	0.000	4.000	4.000
1070	0.524	0.850	4.000	0.000	2.000	4.000
1080	0.524	0.851	6.000	0.000	1.000	3.000
1090	0.524	0.852	6.000	0.000	2.000	2.000
1100	0.523	0.852	3.000	0.000	5.000	2.000
1110	0.523	0.852	5.000	0.000	3.000	2.000
