imdb
data-imdb-lrn-sequential-ut-rnd-snip-sr-cal-True
IT	ACCU	AUC	T0	F1	F0	T1
10	0.610	0.747	2.000	1.000	2.000	5.000
20	0.590	0.751	3.000	1.000	1.000	5.000
30	0.692	0.758	4.000	0.000	3.000	3.000
40	0.693	0.759	3.000	2.000	2.000	3.000
50	0.673	0.766	3.000	2.000	1.000	4.000
60	0.680	0.763	3.000	1.000	2.000	4.000
70	0.684	0.776	6.000	0.000	1.000	3.000
80	0.697	0.783	5.000	2.000	0.000	3.000
90	0.706	0.784	5.000	1.000	0.000	4.000
100	0.700	0.788	5.000	0.000	1.000	4.000
110	0.648	0.789	6.000	2.000	1.000	1.000
120	0.632	0.778	6.000	1.000	0.000	3.000
130	0.606	0.786	7.000	0.000	0.000	3.000
140	0.599	0.803	6.000	0.000	0.000	4.000
150	0.591	0.806	5.000	0.000	1.000	4.000
160	0.570	0.801	5.000	1.000	2.000	2.000
170	0.620	0.805	3.000	0.000	0.000	7.000
180	0.635	0.807	4.000	1.000	1.000	4.000
190	0.616	0.811	6.000	0.000	1.000	3.000
200	0.595	0.810	6.000	0.000	1.000	3.000
210	0.608	0.816	5.000	0.000	0.000	5.000
220	0.620	0.820	3.000	0.000	2.000	5.000
230	0.621	0.823	4.000	0.000	2.000	4.000
240	0.625	0.825	3.000	0.000	2.000	5.000
250	0.657	0.826	3.000	0.000	0.000	7.000
260	0.644	0.828	5.000	1.000	2.000	2.000
270	0.648	0.833	4.000	0.000	1.000	5.000
280	0.629	0.833	4.000	1.000	3.000	2.000
290	0.619	0.832	4.000	1.000	3.000	2.000
300	0.605	0.830	5.000	0.000	3.000	2.000
310	0.589	0.831	7.000	1.000	1.000	1.000
320	0.590	0.834	3.000	0.000	3.000	4.000
330	0.586	0.836	6.000	0.000	1.000	3.000
340	0.574	0.832	4.000	0.000	4.000	2.000
350	0.555	0.832	3.000	0.000	6.000	1.000
360	0.549	0.833	5.000	0.000	2.000	3.000
370	0.547	0.835	6.000	0.000	1.000	3.000
380	0.549	0.835	4.000	0.000	2.000	4.000
390	0.549	0.834	5.000	0.000	1.000	4.000
400	0.561	0.839	4.000	1.000	0.000	5.000
410	0.562	0.838	5.000	1.000	1.000	3.000
420	0.555	0.838	3.000	0.000	4.000	3.000
430	0.549	0.837	5.000	1.000	3.000	1.000
440	0.554	0.838	3.000	0.000	2.000	5.000
450	0.569	0.836	2.000	3.000	1.000	4.000
460	0.575	0.837	4.000	0.000	1.000	5.000
470	0.581	0.838	5.000	2.000	0.000	3.000
480	0.566	0.838	8.000	0.000	2.000	0.000
490	0.559	0.841	2.000	0.000	5.000	3.000
500	0.561	0.840	3.000	0.000	3.000	4.000
510	0.561	0.842	5.000	0.000	2.000	3.000
520	0.566	0.846	3.000	0.000	2.000	5.000
530	0.562	0.845	6.000	0.000	2.000	2.000
540	0.562	0.845	5.000	2.000	1.000	2.000
550	0.562	0.845	6.000	0.000	1.000	3.000
560	0.558	0.843	4.000	1.000	4.000	1.000
570	0.568	0.842	4.000	3.000	0.000	3.000
580	0.577	0.842	2.000	0.000	2.000	6.000
590	0.582	0.844	3.000	2.000	1.000	4.000
600	0.579	0.843	5.000	2.000	2.000	1.000
610	0.574	0.841	4.000	1.000	4.000	1.000
620	0.574	0.843	5.000	1.000	1.000	3.000
630	0.587	0.844	3.000	0.000	1.000	6.000
640	0.591	0.844	5.000	0.000	1.000	4.000
650	0.585	0.844	7.000	0.000	2.000	1.000
660	0.578	0.844	6.000	0.000	2.000	2.000
670	0.585	0.844	3.000	0.000	2.000	5.000
680	0.599	0.844	1.000	1.000	1.000	7.000
690	0.603	0.844	6.000	0.000	0.000	4.000
700	0.602	0.844	5.000	0.000	2.000	3.000
710	0.606	0.843	4.000	0.000	2.000	4.000
720	0.602	0.843	6.000	1.000	2.000	1.000
730	0.604	0.844	5.000	0.000	1.000	4.000
740	0.602	0.845	6.000	0.000	2.000	2.000
750	0.597	0.844	6.000	1.000	2.000	1.000
760	0.603	0.844	5.000	1.000	0.000	4.000
770	0.602	0.843	6.000	0.000	1.000	3.000
780	0.602	0.846	5.000	0.000	2.000	3.000
790	0.603	0.847	6.000	0.000	0.000	4.000
800	0.608	0.848	3.000	0.000	2.000	5.000
810	0.604	0.848	3.000	1.000	4.000	2.000
820	0.610	0.850	1.000	0.000	3.000	6.000
830	0.613	0.851	4.000	0.000	1.000	5.000
840	0.605	0.854	7.000	0.000	2.000	1.000
850	0.598	0.853	4.000	0.000	5.000	1.000
860	0.599	0.854	6.000	0.000	1.000	3.000
870	0.599	0.854	5.000	1.000	2.000	2.000
880	0.593	0.856	4.000	0.000	4.000	2.000
890	0.595	0.857	6.000	0.000	0.000	4.000
900	0.596	0.859	5.000	0.000	2.000	3.000
910	0.593	0.861	4.000	0.000	3.000	3.000
920	0.591	0.861	4.000	1.000	4.000	1.000
930	0.591	0.862	3.000	0.000	2.000	5.000
940	0.595	0.861	4.000	0.000	1.000	5.000
950	0.596	0.861	4.000	0.000	3.000	3.000
960	0.599	0.862	4.000	0.000	2.000	4.000
970	0.600	0.862	4.000	0.000	2.000	4.000
980	0.599	0.863	7.000	0.000	1.000	2.000
990	0.595	0.863	3.000	1.000	5.000	1.000
1000	0.596	0.864	4.000	0.000	3.000	3.000
1010	0.600	0.864	5.000	0.000	0.000	5.000
1020	0.599	0.866	6.000	1.000	1.000	2.000
1030	0.604	0.866	5.000	1.000	0.000	4.000
1040	0.609	0.864	4.000	1.000	1.000	4.000
1050	0.611	0.863	5.000	0.000	1.000	4.000
1060	0.614	0.863	2.000	0.000	3.000	5.000
1070	0.616	0.863	4.000	0.000	3.000	3.000
1080	0.617	0.863	5.000	1.000	1.000	3.000
1090	0.619	0.862	5.000	1.000	1.000	3.000
1100	0.621	0.862	3.000	0.000	3.000	4.000
1110	0.616	0.862	5.000	0.000	4.000	1.000
