imdb
data-imdb-lrn-sequential-ut-rnd-snip-first1-cal-False
IT	ACCU	AUC	T0	F1	F0	T1
10	0.533	0.743	3.000	0.000	0.000	7.000
20	0.531	0.739	4.000	0.000	0.000	6.000
30	0.512	0.748	4.000	0.000	0.000	6.000
40	0.519	0.752	5.000	0.000	0.000	5.000
50	0.532	0.752	5.000	0.000	0.000	5.000
60	0.526	0.752	4.000	0.000	0.000	6.000
70	0.574	0.758	6.000	0.000	0.000	4.000
80	0.647	0.759	7.000	0.000	0.000	3.000
90	0.671	0.762	6.000	0.000	0.000	4.000
100	0.667	0.767	5.000	0.000	0.000	5.000
110	0.710	0.781	8.000	0.000	0.000	2.000
120	0.685	0.779	7.000	0.000	0.000	3.000
130	0.662	0.790	7.000	0.000	0.000	3.000
140	0.658	0.807	6.000	0.000	0.000	4.000
150	0.670	0.815	5.000	0.000	0.000	5.000
160	0.667	0.817	6.000	0.000	0.000	4.000
170	0.706	0.817	3.000	0.000	0.000	7.000
180	0.715	0.821	5.000	0.000	0.000	5.000
190	0.708	0.825	6.000	0.000	0.000	4.000
200	0.700	0.827	6.000	0.000	0.000	4.000
210	0.710	0.834	5.000	0.000	0.000	5.000
220	0.738	0.833	3.000	0.000	0.000	7.000
230	0.753	0.841	4.000	0.000	0.000	6.000
240	0.762	0.843	3.000	0.000	0.000	7.000
250	0.763	0.845	3.000	0.000	0.000	7.000
260	0.767	0.849	6.000	0.000	0.000	4.000
270	0.769	0.852	4.000	0.000	0.000	6.000
280	0.769	0.854	5.000	0.000	0.000	5.000
290	0.773	0.858	5.000	0.000	0.000	5.000
300	0.774	0.858	5.000	0.000	0.000	5.000
310	0.777	0.859	8.000	0.000	0.000	2.000
320	0.781	0.864	3.000	0.000	0.000	7.000
330	0.785	0.868	6.000	0.000	0.000	4.000
340	0.786	0.868	4.000	0.000	0.000	6.000
350	0.784	0.869	3.000	0.000	0.000	7.000
360	0.785	0.870	5.000	0.000	0.000	5.000
370	0.787	0.871	6.000	0.000	0.000	4.000
380	0.789	0.873	4.000	0.000	0.000	6.000
390	0.788	0.872	5.000	0.000	0.000	5.000
400	0.789	0.873	5.000	0.000	0.000	5.000
410	0.791	0.875	6.000	0.000	0.000	4.000
420	0.790	0.877	3.000	0.000	0.000	7.000
430	0.789	0.875	6.000	0.000	0.000	4.000
440	0.786	0.874	3.000	0.000	0.000	7.000
450	0.786	0.874	5.000	0.000	0.000	5.000
460	0.786	0.875	4.000	0.000	0.000	6.000
470	0.790	0.876	7.000	0.000	0.000	3.000
480	0.791	0.875	8.000	0.000	0.000	2.000
490	0.786	0.874	2.000	0.000	0.000	8.000
500	0.787	0.877	3.000	0.000	0.000	7.000
510	0.787	0.877	5.000	0.000	0.000	5.000
520	0.785	0.876	3.000	0.000	0.000	7.000
530	0.789	0.879	6.000	0.000	0.000	4.000
540	0.791	0.879	7.000	0.000	0.000	3.000
550	0.793	0.880	6.000	0.000	0.000	4.000
560	0.796	0.883	5.000	0.000	0.000	5.000
570	0.797	0.884	7.000	0.000	0.000	3.000
580	0.795	0.883	2.000	0.000	0.000	8.000
590	0.797	0.886	5.000	0.000	0.000	5.000
600	0.799	0.886	7.000	0.000	0.000	3.000
610	0.801	0.888	5.000	0.000	0.000	5.000
620	0.801	0.888	6.000	0.000	0.000	4.000
630	0.802	0.889	3.000	0.000	0.000	7.000
640	0.801	0.889	5.000	0.000	0.000	5.000
650	0.803	0.890	7.000	0.000	0.000	3.000
660	0.805	0.890	6.000	0.000	0.000	4.000
670	0.802	0.889	3.000	0.000	0.000	7.000
680	0.801	0.890	2.000	0.000	0.000	8.000
690	0.802	0.889	6.000	0.000	0.000	4.000
700	0.802	0.889	5.000	0.000	0.000	5.000
710	0.800	0.889	4.000	0.000	0.000	6.000
720	0.799	0.888	7.000	0.000	0.000	3.000
730	0.800	0.888	5.000	0.000	0.000	5.000
740	0.802	0.889	6.000	0.000	0.000	4.000
750	0.803	0.889	7.000	0.000	0.000	3.000
760	0.802	0.888	6.000	0.000	0.000	4.000
770	0.805	0.889	6.000	0.000	0.000	4.000
780	0.804	0.890	5.000	0.000	0.000	5.000
790	0.806	0.891	6.000	0.000	0.000	4.000
800	0.806	0.891	3.000	0.000	0.000	7.000
810	0.806	0.891	4.000	0.000	0.000	6.000
820	0.806	0.893	1.000	0.000	0.000	9.000
830	0.807	0.894	4.000	0.000	0.000	6.000
840	0.810	0.895	7.000	0.000	0.000	3.000
850	0.809	0.895	4.000	0.000	0.000	6.000
860	0.808	0.895	6.000	0.000	0.000	4.000
870	0.810	0.895	6.000	0.000	0.000	4.000
880	0.811	0.897	4.000	0.000	0.000	6.000
890	0.813	0.897	6.000	0.000	0.000	4.000
900	0.813	0.898	5.000	0.000	0.000	5.000
910	0.813	0.897	4.000	0.000	0.000	6.000
920	0.813	0.898	5.000	0.000	0.000	5.000
930	0.812	0.898	3.000	0.000	0.000	7.000
940	0.812	0.898	4.000	0.000	0.000	6.000
950	0.812	0.898	4.000	0.000	0.000	6.000
960	0.809	0.897	4.000	0.000	0.000	6.000
970	0.809	0.897	4.000	0.000	0.000	6.000
980	0.810	0.897	7.000	0.000	0.000	3.000
990	0.811	0.897	4.000	0.000	0.000	6.000
1000	0.812	0.898	4.000	0.000	0.000	6.000
1010	0.811	0.898	5.000	0.000	0.000	5.000
1020	0.814	0.900	7.000	0.000	0.000	3.000
1030	0.814	0.899	6.000	0.000	0.000	4.000
1040	0.814	0.899	5.000	0.000	0.000	5.000
1050	0.814	0.899	5.000	0.000	0.000	5.000
1060	0.813	0.899	2.000	0.000	0.000	8.000
1070	0.812	0.898	4.000	0.000	0.000	6.000
1080	0.815	0.899	6.000	0.000	0.000	4.000
1090	0.815	0.899	6.000	0.000	0.000	4.000
1100	0.814	0.899	3.000	0.000	0.000	7.000
1110	0.813	0.899	5.000	0.000	0.000	5.000
1120	0.815	0.900	6.000	0.000	0.000	4.000
1130	0.815	0.900	6.000	0.000	0.000	4.000
1140	0.815	0.900	5.000	0.000	0.000	5.000
1150	0.814	0.900	4.000	0.000	0.000	6.000
1160	0.814	0.900	2.000	0.000	0.000	8.000
1170	0.814	0.901	3.000	0.000	0.000	7.000
1180	0.814	0.901	7.000	0.000	0.000	3.000
1190	0.814	0.901	4.000	0.000	0.000	6.000
1200	0.815	0.901	7.000	0.000	0.000	3.000
1210	0.817	0.901	6.000	0.000	0.000	4.000
1220	0.815	0.901	4.000	0.000	0.000	6.000
1230	0.815	0.901	3.000	0.000	0.000	7.000
1240	0.816	0.902	4.000	0.000	0.000	6.000
1250	0.816	0.902	6.000	0.000	0.000	4.000
1260	0.817	0.901	7.000	0.000	0.000	3.000
1270	0.819	0.902	8.000	0.000	0.000	2.000
1280	0.819	0.903	5.000	0.000	0.000	5.000
1290	0.820	0.903	6.000	0.000	0.000	4.000
1300	0.819	0.903	3.000	0.000	0.000	7.000
1310	0.818	0.902	6.000	0.000	0.000	4.000
1320	0.818	0.902	4.000	0.000	0.000	6.000
1330	0.819	0.902	6.000	0.000	0.000	4.000
1340	0.819	0.903	6.000	0.000	0.000	4.000
1350	0.819	0.903	4.000	0.000	0.000	6.000
1360	0.818	0.903	6.000	0.000	0.000	4.000
1370	0.818	0.903	3.000	0.000	0.000	7.000
1380	0.819	0.904	6.000	0.000	0.000	4.000
1390	0.820	0.904	5.000	0.000	0.000	5.000
1400	0.821	0.905	4.000	0.000	0.000	6.000
1410	0.821	0.906	5.000	0.000	0.000	5.000
1420	0.823	0.906	8.000	0.000	0.000	2.000
1430	0.823	0.906	5.000	0.000	0.000	5.000
1440	0.824	0.907	5.000	0.000	0.000	5.000
1450	0.823	0.906	5.000	0.000	0.000	5.000
1460	0.823	0.906	4.000	0.000	0.000	6.000
1470	0.823	0.907	6.000	0.000	0.000	4.000
1480	0.823	0.907	6.000	0.000	0.000	4.000
1490	0.824	0.907	6.000	0.000	0.000	4.000
1500	0.824	0.907	4.000	0.000	0.000	6.000
1510	0.824	0.907	6.000	0.000	0.000	4.000
1520	0.823	0.907	6.000	0.000	0.000	4.000
1530	0.826	0.908	7.000	0.000	0.000	3.000
1540	0.827	0.909	4.000	0.000	0.000	6.000
1550	0.826	0.908	5.000	0.000	0.000	5.000
1560	0.826	0.909	5.000	0.000	0.000	5.000
1570	0.826	0.909	5.000	0.000	0.000	5.000
1580	0.825	0.909	4.000	0.000	0.000	6.000
1590	0.825	0.909	3.000	0.000	0.000	7.000
1600	0.825	0.910	3.000	0.000	0.000	7.000
1610	0.825	0.910	4.000	0.000	0.000	6.000
1620	0.825	0.910	4.000	0.000	0.000	6.000
1630	0.826	0.910	2.000	0.000	0.000	8.000
1640	0.826	0.910	5.000	0.000	0.000	5.000
1650	0.826	0.910	7.000	0.000	0.000	3.000
1660	0.826	0.911	5.000	0.000	0.000	5.000
1670	0.828	0.912	6.000	0.000	0.000	4.000
