LABEL	SENT	DOC
0	Go to "drivers: Voodoo2" then look for your<br>> >card<br>> <br>> Thank you...I've been there and seen that, and the drivers appeared to be for<br>> the actual board.	In article <19990309084703.20883.00000010@ng09.aol.com>, treybehan@aol.com (Trey Behan) wrote:<br>> Tore Hanson kindly wrote:<br>> <br>> >Go to the www.3dfx.com site. Go to "drivers: Voodoo2" then look for your<br>> >card<br>> <br>> Thank you...I've been there and seen that, and the drivers appeared to be for<br>> the actual board. But I'll try it again.<br>> <br>> Gratefully,<br>> Trey Behan<br><br>The 3Dfx site has two options for Voodoo drivers; either the card vendors <br>drivers (you'll be redirected to the Diamond site) or 3Dfx's own <br>"reference drivers. I think the ref. drivers will be the ones you want to <br>download. I use them for my Creative Labs card.<br><br>The ref. drivers install Glide version 2.54. This is a no-no when it comes to <br>GPL. So get the 2.53 Glide driver from <br>http://www.grandprix2.com/gpl/patches.htm and place that file in the GPL <br>directory. Then race away!!!<br><br>/petern<br>
1	and said HECK NO, BUBBA...I DONE PASSED.	CONGRATS!!!!!<br><br>My checkride day ended about an hour earlier than I anticipated, so when<br>I called home to my husband on the cell phone from the car when I got<br>down, he said, "uhhhh...you're home early...should I put the steaks back<br>in the 'fridge?" and said HECK NO, BUBBA...I DONE PASSED.<br><br>Hope you had a nice fat steak (or big fat cabbage, if you're a<br>vegetarian <g>) to celebrate. If not, go get one. <br><br>cheers!!!!!<br>victoria<br>
1	Rob Olliver    Ocean City, NJ<br>5.4 hrs C150 N18625<br>1 "all by myself" landing<br>	Hey All!<br>What are the requirements to get your commercial license??? I want to fly<br>banners at the beach and was told I need a commercial rating. Thanks all in<br>advance. Been lurking for a month or so and have learned a ton from you guy!<br>Keep it up and thanks.<br><br>Rob Olliver    Ocean City, NJ<br>5.4 hrs C150 N18625<br>1 "all by myself" landing<br>
0	some kind of warning at this time things just could get worse<br><br><br><br><br><br>	some kind of warning at this time things just could get worse<br><br><br><br><br><br>
0	I wouldn't apply for the fourth Subaru seat if I<br>were  you.	On Thu, 3 Dec 1998 22:46:55 -0000, "Paul Jager" <np30@dial.pipex.com><br>wrote:<br><br>>Just bought the game, but I have a few questions<br>>1) on intermediate setting, I have played a few tracks in the rally section<br>>and at the end of a course I receive a message telling me I have the fastest<br>>time (and am given a long password). On a few occasions I have times 2<br>>minutes faster than Colin McRea himself. As I am a beginner, and have hit a<br>>number of walls and banks, surely this must be a mistake? Does the game rely<br>>on my computer's internal clock, and could this be the problem?<br><br> Times set by "Colin McRae" are placeholders that are meant to<br>be easily broken.  I wouldn't apply for the fourth Subaru seat if I<br>were  you.  :-)<br><br>>2) are there any cheats to access the most difficult level?<br><br> Try http://members.aol.com/mcraerally/cmrally/pages/.<br><br>Martin<br>Nigel Mansell RIP!<br>
0	dave henrie<br><br>Andre Perron wrote in message ...<br>>Does  someone know if there is an update coming for former Icr2 now Cart<br>>rendition to play it in Windows9x, directx support, rendition, Force feed<br>>back.	  No, CART is stone cold done, finished, any add-ons, or enhancements will<br>only come from<br>private 3rd party folks.<br>  Papyrus did secure the rights for CART for 1999 and beyond, there is talk<br>of taking the GPL engine<br>and creating a CART sim from that.  However, any work on CART3(or whatever<br>they call it will be well after they get Nascar Racing 3 finished.  and<br>since the parent companies of Papyrus are in some legal finacial problems,<br>any project scheduled for next year may get put off indeffinately.<br>dave henrie<br><br>Andre Perron wrote in message ...<br>>Does  someone know if there is an update coming for former Icr2 now Cart<br>>rendition to play it in Windows9x, directx support, rendition, Force feed<br>>back. tra la la<br>><br>>it would be a good idea to do it<br>><br>>Andre<br>><br>><br>><br><br><br>
0	Spammer, you have been warned.<br>	"Marc J. Nelson" <L8BRKR@confused.net> wrote:<br><br>>Um...Nowhere did I mention either...What I said was this:<br>><br>>"Much of the work that was once handled in Watertown might instead be<br>>going to a CUC affiliate in Russia, possibly in an attempt to trim the<br>>fat by lowering overhead, and ultimately making Papyrus more attractive<br>>to potential buyers."<br><br>Excuse my ignorance, but what exactly was "the work that was once<br>handled in Watertown"?<br><br>>Chris Schletter wrote:<br>><br>>> Um, its just the art that may be farmed off to a subsiduary of CUC in<br>>> Russia. Not the programming of the games.<br><br>-- <br>Wolfgang Preiss   \ E-mail copies of replies to this posting are welcome.<br>wopr@gmx.net       \ Spam (UCE) is not welcome will lead to the cancellation<br>wopr@stud.uni-sb.de \ of your account. I mean it. Spammer, you have been warned.<br>
0	I don't think he can be, he's talking GP2Paul<br><br>	<br><br>'John' Joao Silva wrote:<br><br>> Graphics.....Sounds...???<br>><br>> How about physics modeling?!? Track details like camber, elevation?!?<br>> or do you only like driving sims for their eye and ear candy?<br><br>I don't think he can be, he's talking GP2Paul<br><br>
0	Did just what the readme.txt file<br>said ( that came with minigl ).	Took out Matrox G100 and put in Thriller, just Thriller drivers in display<br>adapters!<br><br>Borut<br><br>P.S. I can't get to run Quake2, either. Did just what the readme.txt file<br>said ( that came with minigl ). Will try Nascar2.<br>dafney <dafney@mail.sgi.net> wrote in message<br>news:366702ef.29917238@news.sgi.net...<br>>Did you remove all your old primary card drivers ?  I got the same<br>>setup and it runs like a charm.<br>><br>>On Thu, 03 Dec 1998 21:18:07 GMT, "Borut Srebotnik"<br>><borut.srebotnik@siol.net> wrote:<br>><br>>>I just bought Hercules Thriller 8mb PCI, I downloaded latest Bios and<br>>>drivers and I can't get it to work with GPL. When I star the game it<br>renders<br>>>the screen with funny colours ( I can't see the text I can just see some<br>>>shapes but thats all ). I have AMD K6-2 300 on Soyo 5EHM mobo., 128 MB<br>RAM,<br>>>SB Live! I used voodoo2 before and Everything was OK, I did reinstall the<br>>>game.<br>>><br>>>Please, help me!<br>>><br>>>Borut<br>>><br>>><br>><br><br><br>
1	phil cohen<br>philcam@worldnet.att.net<br>	> I vote for the second statement.  If the wing were the only aircraft<br>> component providing a force (like if it was, by magic, flying without a<br>> tail) the plane would simply translate sideways when rolled but would<br>> not change its heading.  The only way to change heading is to rotate the<br>> aircraft about its yaw axis, and the only way to do that is with the<br>> vertical stabilizer and rudder.<br><br><br>A friend of mine failed a CFI oral after the inspector argued him into <br>saying that the rudder turned the airplane. <br><br>The rudder does not turn the airplane.  <br><br>If you lost all control of the rudder, and it remained fixed in neutral,<br>you would still be able to turn the airplane quite effectively by<br>banking it with the ailerons.  Many student pilots do exactly this. <br><br>The vertical tail simply keeps the airplane pointed where it's going. <br>The rudder simply compensates for adverse yaw and left turning<br>tendencies.  <br><br>It's the ailerons that turn the airplane by establishing it in a bank. <br>Then the airplane is actually turned by the lift that the wings are<br>developing in the horizontal direction.<br><br>phil cohen<br>philcam@worldnet.att.net<br>
