COST	MEAN	STDEV
10.000	0.528	0.026
20.000	0.532	0.019
30.000	0.539	0.027
40.000	0.556	0.020
50.000	0.557	0.017
60.000	0.547	0.008
70.000	0.545	0.017
80.000	0.537	0.008
90.000	0.536	0.002
100.000	0.536	0.008
110.000	0.530	0.009
120.000	0.533	0.002
130.000	0.528	0.005
140.000	0.530	0.009
150.000	0.539	0.005
160.000	0.527	0.009
170.000	0.529	0.007
180.000	0.525	0.004
190.000	0.529	0.010
200.000	0.525	0.010
210.000	0.526	0.010
220.000	0.541	0.001
230.000	0.540	0.008
240.000	0.535	0.005
250.000	0.534	0.008
260.000	0.539	0.008
270.000	0.536	0.007
280.000	0.539	0.009
290.000	0.543	0.012
300.000	0.544	0.012
310.000	0.543	0.016
320.000	0.543	0.021
330.000	0.548	0.024
340.000	0.545	0.023
350.000	0.546	0.020
360.000	0.549	0.021
370.000	0.544	0.020
380.000	0.542	0.021
390.000	0.539	0.012
400.000	0.542	0.018
410.000	0.539	0.012
420.000	0.543	0.014
430.000	0.542	0.016
440.000	0.543	0.017
450.000	0.545	0.016
460.000	0.545	0.015
470.000	0.546	0.012
480.000	0.543	0.012
490.000	0.550	0.015
500.000	0.549	0.016
