COST	MEAN	STDEV
10.000	0.587	0.019
20.000	0.588	0.011
30.000	0.594	0.010
40.000	0.599	0.003
50.000	0.596	0.007
60.000	0.595	0.009
70.000	0.599	0.008
80.000	0.595	0.006
90.000	0.595	0.002
100.000	0.598	0.001
110.000	0.594	0.004
120.000	0.595	0.004
130.000	0.595	0.007
140.000	0.600	0.012
150.000	0.599	0.010
160.000	0.599	0.016
170.000	0.598	0.011
180.000	0.595	0.012
190.000	0.599	0.013
200.000	0.602	0.016
210.000	0.601	0.012
220.000	0.605	0.012
230.000	0.607	0.012
240.000	0.608	0.013
250.000	0.606	0.013
260.000	0.607	0.016
270.000	0.607	0.015
280.000	0.606	0.016
290.000	0.606	0.015
300.000	0.606	0.015
310.000	0.608	0.014
320.000	0.608	0.015
330.000	0.607	0.015
340.000	0.605	0.015
350.000	0.606	0.011
360.000	0.607	0.011
370.000	0.608	0.014
380.000	0.608	0.013
390.000	0.608	0.011
400.000	0.608	0.011
410.000	0.609	0.009
420.000	0.609	0.009
430.000	0.611	0.007
440.000	0.613	0.006
450.000	0.614	0.008
460.000	0.613	0.006
470.000	0.613	0.007
480.000	0.611	0.008
490.000	0.610	0.008
500.000	0.611	0.008
