ID	LABEL	SENT	DOC	LABEL	NUM_LABEL
1	0	      I am interested in the following topics.<br><br>1)BIOS programming on 286 and 386.<br>2)Memory management in 286 and 386.<br>3)Developing Visual Basic Custom Controls.<br><br>     I would like to have your valuable opinion on the books<br>that are best in the above topics.  Please send a mail to<br>rmehta@paul.rutgers.edu . I will post a summary of the <br>suggestions.<br><br>  2**32-1  thanks in advance.	      I am interested in the following topics.<br><br>1)BIOS programming on 286 and 386.<br>2)Memory management in 286 and 386.<br>3)Developing Visual Basic Custom Controls.<br><br>     I would like to have your valuable opinion on the books<br>that are best in the above topics.  Please send a mail to<br>rmehta@paul.rutgers.edu . I will post a summary of the <br>suggestions.<br><br>  2**32-1  thanks in advance.	H	
2	1	"I think Washburn has very competitive prices compared to other AMI distributers,plus I liked  the fact he's a EE that knows what he's talking about<br>concerning hardware, and he can be easily reached via CompuServe for non  <br>critcle questions, and is very informative to his customers over the phone."	"I think Washburn has very competitive prices compared to other AMI distributers,plus I liked  the fact he's a EE that knows what he's talking about<br>concerning hardware, and he can be easily reached via CompuServe for non  <br>critcle questions, and is very informative to his customers over the phone."	H	
3	0	"<br>There are some fonts that are only available as PS fonts.  If you<br>have a PS font that you want to use, use ATM.  Otherwise, it is<br>a waste of system resources.<br><br>Personally, I use both.<br>"	"<br>There are some fonts that are only available as PS fonts.  If you<br>have a PS font that you want to use, use ATM.  Otherwise, it is<br>a waste of system resources.<br><br>Personally, I use both.<br>"	W	
4	1	Is there a PC like that?? And where can I get more info?<br>I know of the Atari portfolio but it can't stand the rain....<br>	Is there a PC like that?? And where can I get more info?<br>I know of the Atari portfolio but it can't stand the rain....<br>	H	
5	1	"no argument on going direct to National (see my previous post on this topic),<br>but some info regarding what you said above.  I don't know about the 8250 or<br>16450, but NS was the original source for the 16550 series (and I strongly<br>suspect that they developed the others first, too).<br><br>I can also tell you that I'm one of those who won't buy a UART made by<br>anyone other than National Semiconductor.<br><br>   --jim<br><br>--<br>#include <std_disclaimer.h>                                 73 DE N5IAL (/4)<br>------------------------------------------------------------------------------<br>INTERNET: jim@n5ial.mythical.com  |  j.graham@ieee.org     ICBM: 30.23N 86.32W<br>AMATEUR RADIO: n5ial@w4zbb (Ft. Walton Beach, FL)          AMTOR SELCAL: NIAL"	"no argument on going direct to National (see my previous post on this topic),<br>but some info regarding what you said above.  I don't know about the 8250 or<br>16450, but NS was the original source for the 16550 series (and I strongly<br>suspect that they developed the others first, too).<br><br>I can also tell you that I'm one of those who won't buy a UART made by<br>anyone other than National Semiconductor.<br><br>   --jim<br><br>--<br>#include <std_disclaimer.h>                                 73 DE N5IAL (/4)<br>------------------------------------------------------------------------------<br>INTERNET: jim@n5ial.mythical.com  |  j.graham@ieee.org     ICBM: 30.23N 86.32W<br>AMATEUR RADIO: n5ial@w4zbb (Ft. Walton Beach, FL)          AMTOR SELCAL: NIAL"	H	
6	0	"<br>you might want to look in windows FAQ for this one, but here is my best<br>explanation.  But I can't guarantee that I'm not way off base...<br><br>The permenant swap file is read/written to by windows by talking<br>directly to the hard disk controller card.  The controller card must<br>use the protocal set up by western digital (or something like that).<br>Windows creates a file called spart.par in your windows directory that<br>points to that file.  It then uses the physical information about your<br>disk to index to information in that file.<br><br>compressed disks are actually ""logical"" disks.  These disks have different<br>characteristics than the actual physical disk.  Furthermore, the information<br>on the compressed disks must be uncompressed before it is used.  (i.e it must<br>go through the decompression program that traps disk reads at the operating<br>system level or the BIOS level).  Because of this ""inbetween"" program, windows<br>cannot use direct methods to read from the ""logical"" disk.<br><br>a permenant swap file is only there to ""reserve"" an area of the disk that<br>windows can use and to block that space from DOS.  Windows would theoretically<br>not even have to access the file from DOS to use that disk space. (I don't<br>know if it does or doesn't...but it checks for it somewhere everytime you<br>boot windows.)<br><br>a temporary swap file is just a normal DOS file that is accessed by windows<br>via DOS and the BIOS.  If a disk compression program or other TSR is loaded<br>the file access must go through DOS...TSR'S (disk compression)...and BIOS in<br>order to be access. (i.e. NEVER USE A TEMPORARY SWAP FILE...NEVER)<br><br>more on permenent swap files...<br><br>i'm sure everyone who has an uncompressed part of their compressed hard disk<br>has seen the message ""you have selected a swap file greater than the suggested<br>size...windows will only use the size suggested...do you wan't to create this<br>swap file anyway"" or something like that.<br><br>well, a friend of mine (ROBERT) called microsoft and asked them what and why.<br>what they said is that windows checks the amount of free disk space and<br>divides that number by 2.  Then it checks for the largest contiguous block<br>of free disk space.  Windows then suggests the smaller of the two numbers.<br><br>They also said that under absolutely no circumstances...NONE!...will windows<br>uses a swap file larger than the suggested size.  Well...that's what he <br>said!<br><br>I call bull@#$#.  If this is true why does windows report the memory is<br>available to me if it's not going to use it?<br><br>any takers?<br><br>James"	"<br>you might want to look in windows FAQ for this one, but here is my best<br>explanation.  But I can't guarantee that I'm not way off base...<br><br>The permenant swap file is read/written to by windows by talking<br>directly to the hard disk controller card.  The controller card must<br>use the protocal set up by western digital (or something like that).<br>Windows creates a file called spart.par in your windows directory that<br>points to that file.  It then uses the physical information about your<br>disk to index to information in that file.<br><br>compressed disks are actually ""logical"" disks.  These disks have different<br>characteristics than the actual physical disk.  Furthermore, the information<br>on the compressed disks must be uncompressed before it is used.  (i.e it must<br>go through the decompression program that traps disk reads at the operating<br>system level or the BIOS level).  Because of this ""inbetween"" program, windows<br>cannot use direct methods to read from the ""logical"" disk.<br><br>a permenant swap file is only there to ""reserve"" an area of the disk that<br>windows can use and to block that space from DOS.  Windows would theoretically<br>not even have to access the file from DOS to use that disk space. (I don't<br>know if it does or doesn't...but it checks for it somewhere everytime you<br>boot windows.)<br><br>a temporary swap file is just a normal DOS file that is accessed by windows<br>via DOS and the BIOS.  If a disk compression program or other TSR is loaded<br>the file access must go through DOS...TSR'S (disk compression)...and BIOS in<br>order to be access. (i.e. NEVER USE A TEMPORARY SWAP FILE...NEVER)<br><br>more on permenent swap files...<br><br>i'm sure everyone who has an uncompressed part of their compressed hard disk<br>has seen the message ""you have selected a swap file greater than the suggested<br>size...windows will only use the size suggested...do you wan't to create this<br>swap file anyway"" or something like that.<br><br>well, a friend of mine (ROBERT) called microsoft and asked them what and why.<br>what they said is that windows checks the amount of free disk space and<br>divides that number by 2.  Then it checks for the largest contiguous block<br>of free disk space.  Windows then suggests the smaller of the two numbers.<br><br>They also said that under absolutely no circumstances...NONE!...will windows<br>uses a swap file larger than the suggested size.  Well...that's what he <br>said!<br><br>I call bull@#$#.  If this is true why does windows report the memory is<br>available to me if it's not going to use it?<br><br>any takers?<br><br>James"	W	
7	0	This is a uuencoded bitmap.  960X600 256 colors.<br>The picture is a marbled gazebo on a desert with blue sky background.<br>The size is just right for centered wallpaper on a 1024x768 display<br>because it leaves a border at the bottom just big enough fo	This is a uuencoded bitmap.  960X600 256 colors.<br>The picture is a marbled gazebo on a desert with blue sky background.<br>The size is just right for centered wallpaper on a 1024x768 display<br>because it leaves a border at the bottom just big enough fo	W	
8	1	"486-33 DX, 16 mb of ram<br>on a Novell 3.11 network<br>Monitor:  NEC 4FGe, capable of 76 Hz vertical refresh rate<br><br>Major considerations:<br><br>I expect I will work mostly in windows, but with some DOS<br>applications and I would want decent speed in DOS.  I do mostly word<br>processing, database and communications--not much intensive graphics.<br><br>With a 15"" monitor, I expect I will work mostly in 800X600 and 256<br>colors seems plenty, but I'd like like the image to be sharp, fast,<br>and rock solid.<br><br>Other considerations:<br><br>I sometimes run a Unix clone (Coherent) and I understand that some<br>companies (e.g. Diamond?) don't encourage the third-party<br>development of drivers.<br><br>I might move to OS/2 if I decide I need better speed and reliability<br>than I get with Windows for my database work and multitasking.<br><br>I don't have a local bus motherboard--I'm not sure how much to invest<br>in an ISA video board (versus getting something less expensive now and<br>upgrading to local bus later).<br><br>I like buying things from companies that treat their customers well.<br><br>If you have any advice for me, I'd love to hear it via email or post.<br><br>Thanks.<br>"	"486-33 DX, 16 mb of ram<br>on a Novell 3.11 network<br>Monitor:  NEC 4FGe, capable of 76 Hz vertical refresh rate<br><br>Major considerations:<br><br>I expect I will work mostly in windows, but with some DOS<br>applications and I would want decent speed in DOS.  I do mostly word<br>processing, database and communications--not much intensive graphics.<br><br>With a 15"" monitor, I expect I will work mostly in 800X600 and 256<br>colors seems plenty, but I'd like like the image to be sharp, fast,<br>and rock solid.<br><br>Other considerations:<br><br>I sometimes run a Unix clone (Coherent) and I understand that some<br>companies (e.g. Diamond?) don't encourage the third-party<br>development of drivers.<br><br>I might move to OS/2 if I decide I need better speed and reliability<br>than I get with Windows for my database work and multitasking.<br><br>I don't have a local bus motherboard--I'm not sure how much to invest<br>in an ISA video board (versus getting something less expensive now and<br>upgrading to local bus later).<br><br>I like buying things from companies that treat their customers well.<br><br>If you have any advice for me, I'd love to hear it via email or post.<br><br>Thanks.<br>"	H	
9	0	Thanks in advance...	Thanks in advance...	N	
10	1	" I am having no end of trouble trying to set it up.  It will<br> dial and connect just fine--at 9600 baud.  But if I try to<br> set the comm at 19k2, 38.4k or 56kbps, the stupid thing<br> connects, but just gives garbage (it connects 14.4k).  <br> His machine (a dx48633) has a 16550AFN UART, so that's<br> not the problem.<br><br> It seems to me that the stupid thing wants to talk to  <br> a comm program _at_ 14.400bps, even though it will take<br> dialing instructions at 56k (and respond OK, etc. to <br> other commands).  I don't have a comm program that can<br> do precisely 14.4k.  <br><br> I looked at the manual but it was unclear.  All I know is,<br> I didn't have this trouble with the Intel--it came<br> ready to connect this way.  Do I need to initialize it<br> any way in particular?<br><br> Also, it's _using_ V.42bis and V.42 (and MNP5) when connecting<br> here (i.e., at 9600, since our tests at 14k4 are zip so far)<br> but it doesn't _say_ so there.  any ideas?<br><br> (BTW:  I tried the initialization string that I use for<br> my modem, but it just gives ERROR on that one)<br><br>"	" I am having no end of trouble trying to set it up.  It will<br> dial and connect just fine--at 9600 baud.  But if I try to<br> set the comm at 19k2, 38.4k or 56kbps, the stupid thing<br> connects, but just gives garbage (it connects 14.4k).  <br> His machine (a dx48633) has a 16550AFN UART, so that's<br> not the problem.<br><br> It seems to me that the stupid thing wants to talk to  <br> a comm program _at_ 14.400bps, even though it will take<br> dialing instructions at 56k (and respond OK, etc. to <br> other commands).  I don't have a comm program that can<br> do precisely 14.4k.  <br><br> I looked at the manual but it was unclear.  All I know is,<br> I didn't have this trouble with the Intel--it came<br> ready to connect this way.  Do I need to initialize it<br> any way in particular?<br><br> Also, it's _using_ V.42bis and V.42 (and MNP5) when connecting<br> here (i.e., at 9600, since our tests at 14k4 are zip so far)<br> but it doesn't _say_ so there.  any ideas?<br><br> (BTW:  I tried the initialization string that I use for<br> my modem, but it just gives ERROR on that one)<br><br>"	H	
