LABEL	SENT	DOC
1	<br /><br />For example, we see the joie de vivre that has been kept in check by Victoria's mother ( Miranda Richardson) and her scheming adviser/lover Conroy expressed in the simple things like Victoria trying to sketch her dog.	What more can be said? I have not been this fascinated with a young actress since Cate Blanchett burst upon the scene over ten years ago. And although both Blanchett and Blunt have played Queens now( seems to be the benchmark for up and coming actresses), the roles are complete polar opposites.<br /><br />Simply put if you are looking for high passion, compelling drama, and Machiavellian intrigue, this is not the movie for you. This isn't to say that the script or direction was bad, its just that the subject of the film did not lead too dramatic a life when compared to other notable royals like Elizabeth I, Anne Boylen, Henry VIII, Henry V, Henry II and Elainor of Acquitane. These are people whose lives were the stuff such as good soap operas are made of and whose policies and decisions altered the course of British ,and in most cases, world history. Victoria, in contrast, ascended the throne without incident, she quasi-governed a nation that was fast becoming a global power due to industrialization and the rise of the Navy, her State had a stable government led by competent and dynamic politicians, and she married young had a harmonious family life. The facts of her life are not the Sturm und Drag such as powerful dramas are made of.<br /><br />The heart of the film, aside from the attempt to dramatize her stultifying upbringing and the machinations surrounding her throne, is the story of the one thing that was truly shocking and surprising about her reign- a love story. Marriage made for financial or political reasons is with reason not necessarily the place to look for world shaking passion, yet Victoria will always be remembered in history as being sort of a Patron Saint marital fidelity, happiness and ideal family life. Thus, central to the film is the budding love of Victoria and her Prince Albert. I was very taken with Rupert Friend's characterization of Albert whom he portrayed as a kind, patient, somewhat earnest and maybe a touch naive young man, looking to" do good in the world and help". In short, he is a good man with a good heart, not the most dynamic figure to base a drama around, but as that is not the point of the story, that does not matter. The heart of the character shines through thanks to Friend's understated yet earnest performance. <br /><br />As for the Queen, well..Emily Blunt is sublime. Her beauty cannot be denied, but she is more than something pretty to look at; her face is like quicksilver because of her expressiveness. The slightest arch of the eyebrow, glance of the eye or slight wry smile delivers so much. Again, this is not a bombastic performance of heavy speeches and impassioned pleas, its not that kind of movie. But what Ms. Blunt does do with the role is show the simple humanity of the character with potent subtlety. <br /><br />For example, we see the joie de vivre that has been kept in check by Victoria's mother ( Miranda Richardson) and her scheming adviser/lover Conroy expressed in the simple things like Victoria trying to sketch her dog. We see her delight and fascination upon first meeting Albert by her eyes being continually drawn to him. We see her nervous and overwhelmed when addressing Parliament upon her Ascension. And my favorite scene of all in the film- we see her nervous, happy, and hopeful as she steels herself to do what really most women never have to do in their life- ask the man she loves to marry her, a proposition so ridiculous for those times( and some would say now) that Victoria bursts out in nervous laughter before she can even say "marry me". Again, this is not a movie for over the top larger than life expressions, but more a study in the subtleties of a character and making the little things say so much.<br /><br />So, overall, I judge the film by what it is and what it tried to do and as such I give it a 7. I felt that some of the politics could be better explained and that some very fine actors were wasted with little do and little character development, namely Miranda Richardson as the Duchess of Kent, and the characters of Conroy and Lord Peal. Again, the film need not have spent a large amount of time on those characters, but a little more exposition would have helped to explain the political environment. Also I would have loved to have seen more of the adjustment to married life between Victoria and Albert, but that may be just my greed for more scenes between Friend and Blunt. <br /><br />In summary, don't view this film in terms of a historical drama but for what it really is, a love story between two characters that happen to be historical figures. I give this film a solid 7 for wonderful lead performances, brilliant costumes and scenery and the magnificent Victoria of Emily Blunt. And anyone who has any shred of romance left in them, you will be touched by the end of this movie. God save the Queen.
1	But even the voice acting is far better than much released today.	Watching this several times as a child was quite the experience 15 years ago, and now that I've found it again it still has a film experience like few others. If risky, it's a great display of morals and life lessons recommended for family viewing with young kids. While it still holds up as an adult, I was fortunate to have learned from it many times over years ago. Trying to find it today is hard enough . . . but believe me it is well worth it no matter what the age. Anime fans especially will find this a great entry to Masami Hata's filmography. With impressive art work and unique designs, "Chirin No Suzu" represents a worthwhile experience. While some of the lyrical songs are not so hot when recorded in English, the musical score is nevertheless captivating. But even the voice acting is far better than much released today. Unfortunately is went out of print in the mid-1980s from RCA Columbia Home Video, and has not received any new format release to my knowledge, at least in the US. Look hard for it and you will be quite satisfied! It's an artful, intense, enjoyable, and important landmark in Japanese animation.
0	(next to the grave of the soldier he sort off murdered) The soldier wakes up from his grave in the form of zombie and kill them for taking revenge on his behalf.<br /><br />The twist ending were so lame.<br /><br />Even if you like B HORROR movies, don't watch this movie	I received this movie as a gift, I knew from the DVD cover, this movie are going to be bad.After not watching it for more than a year I finally watched it. what a pathetic movieÂ.<br /><br />I almost didn't finish watching this bad movie,but it will be unfair of me to write a review without watching the complete movie.<br /><br />Trust me when I say " this movie sucks" I am truly shocked that some bad filmmaker wane bee got even financed to make this pathetic movie, But it couldn't have cost more than $20 000 to produce this movie. all you need are a cheap camcorder or a cell phone camera .about 15 people with no acting skills, a scrip that were written by a couple of drunk people.<br /><br />In the fist part of this ultra bad move a reporter (Tara Woodley )run a suppose to be drunk man over on her way to report on a hunted town. He are completely unharmed. They went to a supposed to be abandon house ,but luckily for the it almost complete furnished and a bottle of liquor on the door step happens to be there. just for the supposed to be drunk man but all is not what it seems.<br /><br />Then the supposed drunk man start telling Tara ghost/zombies stories.<br /><br />The fist of his stupid lame stories must be the worst in history.<br /><br />his story<br /><br />Sgt. Ben Draper let one of his soldiers die of complete exhaustion (I think this is what happens)after letting the poor soldier private Wilson do sit ups he let him dig a grave and then the soldier collapse ,Ben Draper<br /><br />buries him in a shallow grave.<br /><br />But Sgt. Ben Draper are in for n big surprise. his wife/girl fiend knows about this and she and her lover kills Sgt. Ben Draper to take revenge on private Wilson.(next to the grave of the soldier he sort off murdered) The soldier wakes up from his grave in the form of zombie and kill them for taking revenge on his behalf.<br /><br />The twist ending were so lame.<br /><br />Even if you like B HORROR movies, don't watch this movie
1	Sadly.	I enjoyed this film. It was a joy to see a version so close to the vision of Peter O'Donnell.<br /><br />A number of people have disliked the film, but it has to be seen in context of the origin story that it is. The film uses flashback to show the young Modesty and the events that shaped her into the woman that she became. Before the Network. Before Willie Garvin.<br /><br />The pace is a trifle slow, and for my taste not enough tension is developed in the present day scenes. However this is acceptable just to get such a faithful version.<br /><br />If you like Modesty Blaise, you will enjoy it even with its faults, if you just want an action flick with car chases - forget it.<br /><br />It has the feeling of being the first of a franchise, but as I have never seen it promoted anywhere, I suspect there will be no more to follow. Sadly.
0	She finds Tarzan and Jane, who try to protect her.	Last of the Johnny Weissmuller Tarzan films and a good thing too, as this is easily the worst of the 12 films he made over a period of 16 years. No mermaids are featured here either as a beautiful island woman tries to escape the clutches of her people, who worship a god and try to force her to be its bride. She finds Tarzan and Jane, who try to protect her. George Zucco is present as a potentially villainous High Priest but isn't used to his full advantage. Also on hand and worthy of mention is a hugely annoying guitar player/singer who goes into song every so often. Even the "great" Robert Florey can't aid this one.<br /><br />*1/2 (of four)
1	There is a really modern edge to the script, which strays into the wonderfully bizarre on several occasions.	'Soapdish' is one of the best, yet least well remembered comedies of the 1990's. The film revolves around the various off-camera drama's that occur behind the scenes of a cheaply produced Daytime Soap Opera. The first of the film's various impressive strengths is it's fantastic A-List cast. 'Soapdish' features some of the greatest actors and actresses of it's era.<br /><br />The film is superbly led by Sally Field, as the neurotic ageing actress Celeste Talbert (She famously throws a tantrum when put in a costume that makes her look like "Gloria F*CKING Swanson!"). Her supporting cast reads like a who's-who of 90's Movie Greats! Whoopi Goldberg, Robert Downey Jr, Teri Hatcher, Kevin Kline and Kathy Najimy all elevate the film greatly. Goldberg is predictably excellent, whilst Downey Jr.'s and Hatcher's performances hint at the comedic excellence they would later achieve.<br /><br />In terms of writing, the film is outstanding. There is a really modern edge to the script, which strays into the wonderfully bizarre on several occasions. There also several visual gags that are quite ahead of their time. In some ways, the film is reminiscent of Mel Brooks at his best and frequently reminded this reviewer of 'High Anxiety' (1977). Much of the film's humour hinges on it's often scathing, but pretty accurate, representations of daytime television and of neurotic and pretentious actors. For example, The extras casting session featuring the exploitative executive played by Carrie Fisher, is both hilarious and honest.<br /><br />'Soapdish' is, for my money, one of the very best comedies Hollywood produced during the 1990's. It's excellent script and A-Class cast make it a must-see. It's hard not to love this film after it's kept you laughing for 90 minutes.
1	I rated it a ten but i think it deserves a 12 loll My compliments to the staff of the Star Trek Hidden Frontiers on an excellent job.	I really like Star Trek Hidden Frontier it is an excellent fan fiction film series and i cant wait to see more I have only started watching this film series last week and i just cannot get enough of it. I have already recommended it too other people to watch since it is well worth the view. I have already watched each episode many times over and am waiting to see more episodes come out. I rated it a ten but i think it deserves a 12 loll My compliments to the staff of the Star Trek Hidden Frontiers on an excellent job. If u like Star Trek i highly recommend checking out this star trek fan fiction film. The detail associated with this series of films is excellent especially the ships and planets used in it
1	By no means is this movie fine cinema, but if you dont take things too seriously, and can laugh at yourself once in a while, Elvira is a good frownbuster.	This film is fun, if your a person who likes a good campy feature film every now and then. By no means is this movie fine cinema, but if you dont take things too seriously, and can laugh at yourself once in a while, Elvira is a good frownbuster.
1	I liked Esperanza, Spirit, Rain, and Lil' Creek, who reminds me of Nathan Chasing Horse who is Smiles A Lot in Dances With Wolves.	This animated movie is a masterpiece! The narration, music, animation, and storyline where all remarkable. My girlfriend and I saw it again for a second time and we got more insight from it. We invited a couple friends to see Spirit with us and they really enjoyed it a lot. When I asked them to come along to see it, they thought it was a movie about horses, but afterwards they realized it was more than that. I liked Esperanza, Spirit, Rain, and Lil' Creek, who reminds me of Nathan Chasing Horse who is Smiles A Lot in Dances With Wolves. Spirit has deep symbolic meanings and metaphors that I found to be empowering and inspirational.<br /><br />I saw Spirit for a third time and I want to go see it again. I enjoyed "Spirit" tremendously because its portrayal of American Indians is realistic, dignified, and non-stereotypical unlike the movie "The Road to El Dorado", which was a total farce because it portrayed American Indians in a disrespectful and stereotypical way. But Dreamworks has redeemed themselves by making Spirit a great movie that I found to be acceptable! I hope they continue to make more animated movies like Spirit, and I would like to see sequels or spinoffs to Spirit if its done respectfully and without stereotyping American Indians.<br /><br />I highly recommend this to others who have an open mind to go and pay to see Spirit: Stallion of the Cimarron.
1	I saw the big twist coming a mile away, at least part of it, and though sometimes some loose ends left unexplained is good, Revolver leaves A LOT of questions unexplained for no reason it seemed.	First of all, don't go into Revolver expecting another Snatch or Lock Stock, this is a different sort of gangster film.<br /><br />I saw the gala the other night and this movie definitely split the audience. It's the kind of movie where half the audience will leave thinking WHAT was that? That was awful, and the other half will leave thinking WHAT was that? That was cool. Personally i like films that i don't understand, i.e.Mullholland Drive, and Usual Suspects, so i enjoyed Revolver. <br /><br />It definitely wasn't perfect though. I saw the big twist coming a mile away, at least part of it, and though sometimes some loose ends left unexplained is good, Revolver leaves A LOT of questions unexplained for no reason it seemed. Also some scenes, like the animation, and the scene where Sorter goes on a killing spree(actually one of my favourites), although, awesome scenes to watch, seemed to just be there because they were awesome to watch, not because they fit in with the movie.<br /><br />However there were many good things too. I thought the acting was superb from all the main actors, Jason stratham, Ray Liotta, Vincent Pastore, and even Andre Benjamin(who was a pleasant surprise). This movie definitely kept my interest, with one great, suspenseful, action packed, scene after another. When Ray Liotta was being held under the table wow....well you have to see it. The script was extremely well done, and the soundtrack, as with most Guy Ritchie films, was great.<br /><br />Though a step below such movies as,Fight Club, Mullholland Drive, and Usual Suspects, it was still an awesome fast paced, psychological, action movie, with many twists and turns and tons of scenes you will remember long after the movie is over.
1	Far from the worst ever this movie was glorious.	This was an excellent film. I don't understand why so many people don't like it. There was so much in it to connect with, so many beautiful images, and so much compassion in the things that weren't said. I was thoroughly entertained, and was left with a feeling of joyous exuberance, just as I am when I finish most any Tom Robbins story. Now I haven't read this particular book of Robbin's, so I don't now how this matched up, but I can't imagine this movie could have been a very bad interpretation. The movie left a lot for you to define yourself, which is the best part of any Tom Robbins novel, dreaming up the details. <br /><br />To all of you who said this was the worst movie ever, I pity what little must be left of the dimming light in your hearts. Far from the worst ever this movie was glorious. Long live the whooping crane.
