LABEL	SENT	DOC
1	I thought of how many female lead comedy shows Im actually able to watch on my own, There's Lucy, Bewitched, I Dream Of Jeanie (the one with Barbara Feldman), and then my mind goes kind of blank I cannot think of any others, the women are all supporting roles not the lead.	I'm watching this on the Star World network overseas which buys American and Canadian series that last one or two seasons like The Jane Show. I thought of how many female lead comedy shows Im actually able to watch on my own, There's Lucy, Bewitched, I Dream Of Jeanie (the one with Barbara Feldman), and then my mind goes kind of blank I cannot think of any others, the women are all supporting roles not the lead. So for me, The Jane Show is in pretty good company. One thing I just thought of though. I've watched several things made in Canada, and I never recall any thing being filmed in a regular TV series that shows SNOW! It's all made at the height of summer, LOL! Granted it's a great place to live climate wise in the summer but you would THINK, they would show a little bit of Canada in the winter since that's part of the lifestyle there also. I mean SCTV, Just For Laughs come to mind as two comedy shows that lasted a long time filmed in Canada and very little or none is shot with snow present even though they both do a lot of outdoor shots. I digress but I kind of chuckle at Jane and her obviously liberal ways being accused of racism to her neighbor, and I like the bald guy and his craziness, I found it on par with a UK series called The IT Crowd (I Think) another office comedy with a female lead. Not by any means the best comedy ever but for a guy to say he can watch it alone, thats saying something. If I was with my wife she might really enjoy it since it addresses sex in the office and stuff like that so might be a good light comedy for couples to watch. 7 of 10.
0	Combining Dreamworks animation and computer graphics, this is the story of a mustang, later named Spirit (Matt Damon, providing the first person narration), and his journey through across the frontiers of the Old West.	It wasn't the most pointless animation film experience ever, but it certainly can't be admired as much as it tries to be good. Combining Dreamworks animation and computer graphics, this is the story of a mustang, later named Spirit (Matt Damon, providing the first person narration), and his journey through across the frontiers of the Old West. Basically he is born free amongst all the other horses in the beautiful countryside, then he is kidnapped to be used as a saddle horse, he manages to throw off all who try to ride him. However when he escapes his cage, along with Little Creek (Daniel Studi), the two of them form a friendship, oh, and he obviously has a thing for Little Creek's female horse. In the end, after a few more escapes, being chased by The Colonel (James Cromwell) and his men, and making a final big leap across a gorge, Little Creek lets Spirit go, and he also releases his female horse, and they run home to their countryside and fellow horses. Also starring Chopper Bernet as Sgt. Adams, Jeff LeBeau as Murphy/Railroad Foreman, John Rubano as Soldier, Richard McGonagle as Bill and Matthew Levin as Joe. I was expecting to see the horses talk in this film, but it turns out to be more like a Dumbo thing throughout, and the songs by Bryan Adams aren't the most engaging, but it isn't a terrible film. It was nominated the Oscar for Best Animated Feature, and it was nominated the Golden Globe for Best Song for Bryan Adams' "Here I Am". Okay!
0	The acting is poor and the storyline is almost incomprehensible.	This is by far the worst film I have seen in my entire life. The acting is poor and the storyline is almost incomprehensible. Whether or not you like lightships or any ships for that matter is irrelevant. As for special effects the film has none. The whole film crew were probably on the boat out in rough seas rather than in a studio and when some of the men are "stabbed" (if you can even call it that) their reactions are totally unreal. The guns are more quiet than a mute. How this film could have one two awards puts serious questions to the state of the human mind. Well thats about it. This review is probably more fun to read than the film is to watch. If anyone is considering watching it or buying it I would seriously advise you against it for obvious reasons. I have said that it includes a spoiler. If the fact that some people get stabbed and a gun gets fired is a plot giveaway. I suppose it is because they are the only good parts of the film.
1	The pilot releases a flash device in order to photograph the hidden surface below him.	I have not seen this movie! At least not in its entirety. I have seen a few haunting clips which have left me gagging to see it all. One sequence remains in my memory to this day. A (very convincing looking) spacecraft is orbiting the dark side of the moon. The pilot releases a flash device in order to photograph the hidden surface below him. The moon flashes into visability . . . . and for a few seconds there it is. Parallel lines, squares, Could it be .. then the light fades and the brief glimse of ...what... has gone and it is time for the spacecraft to return to Earth. Wonderful. I have seen some other clips too but would LOVE to obtain the full movie.
0	Once more the dogs are the only "actors" that seem "real" and thats a stretch.	102 DALMATIANS [Walt Disney]: I wasn't a fan of the previous installment and this effort has all the weaknesses of the first, a silly padded storyline, terrible over acting by Glenn Close, who hams up every scene as though she's playing for her own amusement, and incredibly borring and uninteresting lead actors. Once more the dogs are the only "actors" that seem "real" and thats a stretch. Another wasted effort here. GRADE: D
1	brother.	After reading only two of the comments herein, as a lifelong Bronte fan, beginning with Olivier's Heathcliff and enduring with the many versions of Charlotte's "Rochester," it is more than eye-opening to see that it is the UNsung Bronte sister who gave the lie to the male-chauvinist period the trio inhabited. Of course, the "miracle" in all three versions of 19th-Century British domesticity is that the "girls" were all "spinsters" and their only realistic brushes with "men" were their vicar father and their wastrel? brother. That said, finally, it is ANNE Bronte who has, in her single assay?, proved the "feminist" point, way way ahead of contemporary types, and including the "voting franchise" ranks. However, history evinces more than a few who preceded, including the Greek heterai and Sappho and the likes of an ancient emperor's Yang Kuei-fei. And how about "Eve" and her apple?
0	It wasn't funny, that rules out comedy.	Let's see...I'm trying to practice finding the positive in everything, so what kind thing can I say about the Pallbearer?<br /><br />I know! The performances were -- no, that won't work as they succeeded in draining all personality from Gwyneth Paltrow, usually so vibrant, and ended up creating caricatures out of Carol Kane and Barbara Hershey...<br /><br />Oh - how 'bout the story -- nope. That isn't gonna fly either, as it was doze-inducing. What was the genre anyway? It wasn't funny, that rules out comedy. It wasn't interesting enough to be dramatic. Was that a romance between Schwimmer and Paltrow? I have to ask, as I can't be sure - let's just call it "losers in like." I'm sure those behind this film started with a vision, I mean, they must have had one to pitch to the studio suits, but I need help finding it.<br /><br />Even if I were a patient person who could forgive the pure stupidity of the story, I couldn't in good conscience recommend a film that allows a guy to go into a professional job interview in a windbreaker and messy, fluffy, stupid hair. Speaking of hair -- are we supposed to be amused by the deliberate black roots and platinum locks worn by Hershey?<br /><br />What am I doing? I already lost 97 irretrievable minutes in the actual watching of the movie -- I cannot devote any more time to this loser.
1	He shot this film with a digital camera, as more and more filmmakers are doing today, enabling the crew to shoot the night scenes with limited lighting.	Reign Over Me is a success due to the powerful work by Adam Sandler and Don Cheadle. While comedic actors going dramatic has been seen as somewhat of a distraction, Sandler is no stranger to playing more serious roles. Most of the characters he portrays have an unstable temperament and a vulnerability that can burst at any moment. He might even be typecast for characters with such hidden anger problems. However, this performance has some considerable dramatic weight, unlike his roles in less comedic fare like Punch-Drunk Love and Spanglish.<br /><br />In the film, Alan Johnson (Cheadle) runs into his old college roommate, Charlie Finerman (Sandler), whom he hasn't seen in several years. Five years before, Charlie suffered the overwhelming loss of his wife and three daughters in a plane crash. Charlie barely even recognizes Cheadle's character due to the repression of his memories and consequent reclusive childish lifestyle since the accident. It isn't until Alan persists in engaging him in conversation that Charlie remembers who he is. Their renewed relationship that follows will allow Finerman to have a friend who doesn't speak about his loss, eventually enabling him to confront the thoughts and feelings he has suppressed on his own terms.<br /><br />Though writer-director Mike Binder doesn't show much sense of an individual style and some of his shots and transitions are a bit awkward, he does have a knack of getting decent to great performances from his actors while being a talented and funny writer. He shot this film with a digital camera, as more and more filmmakers are doing today, enabling the crew to shoot the night scenes with limited lighting. This kept the colorful backgrounds of New York City in focus, but resulted in creating frequent digital grain, which resembles blue specks scattered and moving on the screen.<br /><br />Almost every main character in Reign Over Me gives a great performance. Jada-Pinkett Smith and especially Liv Tyler are memorable in their respective roles as a frustrated wife to Cheadle's character and a psychiatrist. However, it is Sandler and Cheadle that give some of their finest work to date. They completely owned this movie. Sandler actually plays a character that doesn't outwardly resemble or act like himself at all, partially credited to his Bob Dylan-esquire wig. Though Cheadle's character has more screen time than Sandler, they both should be considered to be leading roles, as they equally support and help each other throughout the film.<br /><br />Music also plays a great part in this film, especially the title song "Reign Over Me," or "Love, Reign O'er Me" by The Who, and later covered by Pearl Jam. In one of the most powerful moments of the film, Binder shows Sandler using music to shut out his feelings and memories, but this particular song provokes such intense emotion that rather than diminishing his anger, it incites his emotions. All an all, Reign Over Me is an enjoyable, sad, yet many times funny film, driven by its amazing leading performances.
1	You still get some of the dull still-cells and slightly blurred background paintings but on the over-all the look has definitely gotten better since Bakshi's last fantasy epic.	With Ralph Bakshi most of his films appear to be like two-edged swords. You'll get something awesome out of it but only if you put up with the silly and the unnecessarily cheezy. The Lord of the Rings was a great adaptation of the story which perhaps didn't always shine in the animation department.<br /><br />Fire and Ice is a great achievement from Bakshi from an animation point of view. The rotoscoping is a lot more detailed and the animation has a vibrant look to it. You still get some of the dull still-cells and slightly blurred background paintings but on the over-all the look has definitely gotten better since Bakshi's last fantasy epic. The animation has almost a realistic-naturalistic style to it, and unlike in LOTR where this style was often at odds with the actual content, here it enhances the film's unique atmosphere.<br /><br />Unfortunately the film fails to create a meaningful story out of its simple setting and in fact most of the characters' motivations are pretty blurred. Lorn and Tigra are easy cases but even the main villain Necron was difficult to follow not to mention That Guy with Furry Face Mask (also known as just 'That Guy'). Even though most of the voice actor's were appropriate, there are some odd quirks in the audio-department and Tigra especially sounds really terrible whenever she's screaming.<br /><br />However, I believe the film's inherent entertainment value outweighs its unnecessarily silly execution of the plot-line. The scant clad of the characters is something you'll never get over but it helps you remind yourself that perhaps this film isn't even intended to be taken too seriously. It's still a hella cool and really funny.
1	"I Got Rhythm" and "S'Wonderful" spotlight Kelly's nimble tap-dancing and agreeable singing, while "Embraceable You" is danced impressively by Caron in a five-scene montage of Henri's all-over-the-map description of Lise to Adam.	The dazzling seventeen-minute dance sequence of George Gershwin's 1928 orchestral piece, "An American in Paris", is an indisputable masterwork. Choreographed with precision and unparalleled flair by Gene Kelly, the vibrant combination of color, music and dance is still eye-poppingly startling as the piece is broken down into scenes inspired by selected master artists - Dufy in the opening Place de la Concorde piece, Manet in the flower market, Utrillo in a Paris street, Rousseau at the fair, Vincent Van Gogh in the spectacular Place de l'Opera piece, and Toulouse-Lautrec for the Moulin Rouge where Kelly wears his famous white bodysuit. The 97 minutes that precede this finale are not as exciting, not by a long shot, but there are certain charms to be had in viewing the entire 1951 Oscar-winning musical.<br /><br />Director Vincente Minnelli and screenwriter Alan Jay Lerner have fashioned a surprisingly sophisticated if rather slight romantic story focused on Jerry Mulligan, a former G.I. who has remained in Paris after the end of WWII trying to make a living as a painter. With his braggadocio manner and athletic dancing style, Gene Kelly can be concurrently ingratiating and irritating as a screen personality, but he seems to find his oeuvre as the carefree Jerry. The love-triangle plot is focused on Jerry's involvement with Milo Roberts, a self-proclaimed art patron but a sexual predator when it comes to young artists. On their first date in a crowded Montmartre nightclub, Jerry unapologetically falls for Lise, a young woman who turns out to be the fianc̩e of Henri, a professional entertainer and friend of Jerry's pal, Adam, an out-of-work concert pianist. Romantic complications ensue until the inevitable ending but not before several classic Gershwin songs are performed.<br /><br />The best of these is the most imitated - a swooningly romantic song and dance to "Our Love Is Here to Stay" along a faux-Seine River in a blue hazy mist with yellow fog lights. The way Kelly and Leslie Caron circle each other is transcendent as they approach each other tentatively at first and then synchronize beautifully to the music leading to the final clinch. Few films have so elegantly and succinctly shown two people falling in love. "I Got Rhythm" and "S'Wonderful" spotlight Kelly's nimble tap-dancing and agreeable singing, while "Embraceable You" is danced impressively by Caron in a five-scene montage of Henri's all-over-the-map description of Lise to Adam. Designed to show off Caron's dancing versatility, the sequence is similar to the one in "On the Town" where Vera-Ellen showed off her considerable dancing skills when Kelly's sailor character described his multi-faceted vision of Miss Turnstiles.<br /><br />As Lise, the nineteen year-old Caron (in her first film) dances superbly throughout and handles her role with unformed charm with her acting talent not to bloom for several years. Looking quite glamorous, Nina Foch plays older as the manipulative Milo and manages to be likable enough for us to care about her fate, while Oscar Levant is just his sardonic self as Adam. Performing an elegant "I'll Build a Stairway to Paradise", George Gu̩tary plays Henri so agreeably that you feel bad that he does lose the girl at the end. This is not the best all-around MGM musical, but there is certainly enough movie magic to make this quite worthwhile. The 2000 DVD contains a fairly pristine print but little else in terms of extras.
