LABEL	SENT	DOC
0	There was not one original idea in this story. Themes were pulled from various sources; a few being The Ninth Gate, In the Mouth of Madness (another Carpenter film), and The Ring. It even went as far as featuring the same damn glowing circle from The Ring and using it as the film's namesake. The soundtrack by Cody Carpenter was all but lifted from Suspiria. Hopefully no one will oppose this comment by spewing the word HOMAGE around. Yes, I saw that the theater was playing Argento's Deep Red. Claiming an homage would be a bullshit cop-out. This was bottom-of-the-barrel. Throwing gore and "disturbing" imagery into the pot does not make a good horror film. Carpenter used to know that. He should fade into obscurity or acquire a time machine.	There was not one original idea in this story. Themes were pulled from various sources; a few being The Ninth Gate, In the Mouth of Madness (another Carpenter film), and The Ring. It even went as far as featuring the same damn glowing circle from The Ring and using it as the film's namesake. The soundtrack by Cody Carpenter was all but lifted from Suspiria. Hopefully no one will oppose this comment by spewing the word HOMAGE around. Yes, I saw that the theater was playing Argento's Deep Red. Claiming an homage would be a bullshit cop-out. This was bottom-of-the-barrel. Throwing gore and "disturbing" imagery into the pot does not make a good horror film. Carpenter used to know that. He should fade into obscurity or acquire a time machine.
1	While this movie isn't a classic by any stretch, it is very entertaining as I remember it. I saw it about 15 years ago on HBO and loved the movie. It was written by the same guy that wrote and directed "Arthur" and though it isn't as funny as that movie, it does show the potential that Steve Gordon reached with "Arthur".	While this movie isn't a classic by any stretch, it is very entertaining as I remember it. I saw it about 15 years ago on HBO and loved the movie. It was written by the same guy that wrote and directed "Arthur" and though it isn't as funny as that movie, it does show the potential that Steve Gordon reached with "Arthur".
0	By no means is this movie as bad as 'Perfect Stranger', but it just wasn't funny. It couldn't stick to one type of comedy - it jumped from SNL, to Adam Sandler-esquire, to romantic, to little guy scores big, to slapstick, to 'Loser' (the movie) types of comedies. Although there were some pretty funny slapstick moments (the fall down the hill), no one was very particularly funny or outstanding in any way. 'Schindler's List' was funnier (and felt shorter). you never knew if Andy Samberg was supposed to be in high school, a college dropout, or just a loser living at home with his mother - Sissy Spacek, in her worst choice of roles. And poor Ian McShane, THE serious actor if I only had to name one, is given crap to read into the camera. The story drags and is completely predictable up to and including the end (no spoilers here in case Adam Samberg's mom wants to see it). Don't spend ANY money going to see this movie, and maybe Lorne Michaels will get the hint and start producing quality (Yes, Wayne's World and Tommy Boy are quality) movies.	By no means is this movie as bad as 'Perfect Stranger', but it just wasn't funny. It couldn't stick to one type of comedy - it jumped from SNL, to Adam Sandler-esquire, to romantic, to little guy scores big, to slapstick, to 'Loser' (the movie) types of comedies. Although there were some pretty funny slapstick moments (the fall down the hill), no one was very particularly funny or outstanding in any way. 'Schindler's List' was funnier (and felt shorter). you never knew if Andy Samberg was supposed to be in high school, a college dropout, or just a loser living at home with his mother - Sissy Spacek, in her worst choice of roles. And poor Ian McShane, THE serious actor if I only had to name one, is given crap to read into the camera. The story drags and is completely predictable up to and including the end (no spoilers here in case Adam Samberg's mom wants to see it). Don't spend ANY money going to see this movie, and maybe Lorne Michaels will get the hint and start producing quality (Yes, Wayne's World and Tommy Boy are quality) movies.
0	I saw the film tonight at a free preview screening, and despite the fact that I didn't pay a dime to see this film I still felt ripped off. Ladies and gentlemen, time is money and if you see this film you are leaving a Benjamin on your seat. The acting is torpid at best; Kiefer Sutherland phones in his worst impersonation of Jack Bauer, and Michael Douglas looks like he realizes he made a bad choice leaving Catherine Zeta-Jones for the duration it took to shoot this turkey. Eva Longoria is a non-entity; she looks like she's reading her lines off a teleprompter. And if you can't spot the "mole" within the first 20 minutes, then you just landed on this planet from a world without TV and recycled story lines. If you truly want to see a good secret service thriller, rent In the Line of Fire. If you see and buy into this one, you'll start to fear for the president's safety because the Secret Service looks and acts like the grown-up versions of the kinds from 90210. No matter what your feelings about W, let's hope this "art" does not imitate life.	I saw the film tonight at a free preview screening, and despite the fact that I didn't pay a dime to see this film I still felt ripped off. Ladies and gentlemen, time is money and if you see this film you are leaving a Benjamin on your seat. The acting is torpid at best; Kiefer Sutherland phones in his worst impersonation of Jack Bauer, and Michael Douglas looks like he realizes he made a bad choice leaving Catherine Zeta-Jones for the duration it took to shoot this turkey. Eva Longoria is a non-entity; she looks like she's reading her lines off a teleprompter. And if you can't spot the "mole" within the first 20 minutes, then you just landed on this planet from a world without TV and recycled story lines. If you truly want to see a good secret service thriller, rent In the Line of Fire. If you see and buy into this one, you'll start to fear for the president's safety because the Secret Service looks and acts like the grown-up versions of the kinds from 90210. No matter what your feelings about W, let's hope this "art" does not imitate life.
0	:Spoilers:<br /><br />I was very disappointed in Love's Abiding Joy. I had been waiting a really long time to see it and I finally got the chance when it re-aired Thursday night on Hallmark. I love the first three "Love" movies but this one was nothing like I thought it was going to be. The whole movie was sad and depressing, there were way to many goofs, and the editing was very poor - to many scenes out of context. I also think the death of baby Kathy happened way to soon and Clarks appearance in the movie just didn't seem to fit. It seemed like none of the actors really wanted to be there - they were all lacking emotion. There seemed to be no interaction between Missie and Willie at all.<br /><br />I think the script writers should have went more by the book. It seems like every movie that's been made so far just slips further and further away from Janette Oke's writings. I mean in the movie they never mentioned a thing about the mine and the two boys or Clark getting hurt because of it. And I think Missie and Willies reactions to Kathy's death could have been shown and heard rather than just heard.<br /><br />Out of the four movies that have been made so far I'd have to say that Love's Abiding Joy is my least favorite. I hope with the next four movies that more of the book is followed and if Clarks character is in them I hope he's got a bigger part and I hope his part isn't so bland. I also hope there is more of Scottie and Cookie and maybe even Marty but who knows what the script writers will have in store next.	:Spoilers:<br /><br />I was very disappointed in Love's Abiding Joy. I had been waiting a really long time to see it and I finally got the chance when it re-aired Thursday night on Hallmark. I love the first three "Love" movies but this one was nothing like I thought it was going to be. The whole movie was sad and depressing, there were way to many goofs, and the editing was very poor - to many scenes out of context. I also think the death of baby Kathy happened way to soon and Clarks appearance in the movie just didn't seem to fit. It seemed like none of the actors really wanted to be there - they were all lacking emotion. There seemed to be no interaction between Missie and Willie at all.<br /><br />I think the script writers should have went more by the book. It seems like every movie that's been made so far just slips further and further away from Janette Oke's writings. I mean in the movie they never mentioned a thing about the mine and the two boys or Clark getting hurt because of it. And I think Missie and Willies reactions to Kathy's death could have been shown and heard rather than just heard.<br /><br />Out of the four movies that have been made so far I'd have to say that Love's Abiding Joy is my least favorite. I hope with the next four movies that more of the book is followed and if Clarks character is in them I hope he's got a bigger part and I hope his part isn't so bland. I also hope there is more of Scottie and Cookie and maybe even Marty but who knows what the script writers will have in store next.
1	This movie is completely ridiculous. Not only is the plot atrocious, but the acting is horrendous. The special effects are asinine and the entire movie is set in a post-apocalyptic desert. Yet, it is by far the most amusing movie ever given permission to be produced. It is 101 minutes of laughs due to the fact that we all know there will be no fuel in the year 3000, or any El Camino's. There are also other aspects which I will not spoil, just because they are what makes the movies so wonderfully moronic. I highly recommend this movie, just because of its utter idiocy. I have no idea who would watch this expecting it to be a high quality feature, but if a good laugh is what you need, watch Exterminators of the Year 3000!	This movie is completely ridiculous. Not only is the plot atrocious, but the acting is horrendous. The special effects are asinine and the entire movie is set in a post-apocalyptic desert. Yet, it is by far the most amusing movie ever given permission to be produced. It is 101 minutes of laughs due to the fact that we all know there will be no fuel in the year 3000, or any El Camino's. There are also other aspects which I will not spoil, just because they are what makes the movies so wonderfully moronic. I highly recommend this movie, just because of its utter idiocy. I have no idea who would watch this expecting it to be a high quality feature, but if a good laugh is what you need, watch Exterminators of the Year 3000!
0	My friends and I went into this movie not knowing what to expect, but hoping for the best. When we came out, we were only slightly more informed on what the plot of the movie actually was. Though not the worst movie I've ever seen, I definitely do not recommend spending your money to see it in theaters. Maybe have a friend rent it for you (it's not even worth the rental cost, either) if you really want to see it.<br /><br />When a movie is so convoluted that you have no idea what's going on until the last five minutes, there's really not much that can be said in its defense. The acting was decent, more than you'd expect to get from this movie, and some of the shots were good, but it was all bogged down by a lame plot and poor script.<br /><br />This movie was actually so bad that as soon as it got out, I went and purchased a ticket to see a good movie just to cleanse my mind. I recommend that all of you just skip the first step and go see a good movie instead.	My friends and I went into this movie not knowing what to expect, but hoping for the best. When we came out, we were only slightly more informed on what the plot of the movie actually was. Though not the worst movie I've ever seen, I definitely do not recommend spending your money to see it in theaters. Maybe have a friend rent it for you (it's not even worth the rental cost, either) if you really want to see it.<br /><br />When a movie is so convoluted that you have no idea what's going on until the last five minutes, there's really not much that can be said in its defense. The acting was decent, more than you'd expect to get from this movie, and some of the shots were good, but it was all bogged down by a lame plot and poor script.<br /><br />This movie was actually so bad that as soon as it got out, I went and purchased a ticket to see a good movie just to cleanse my mind. I recommend that all of you just skip the first step and go see a good movie instead.
1	A documentary about two rocks bands, spanning a number of years. Brian Jonestown Massacre and the Dandy Warhols. What makes it special is the examination of the complex contrasting personalities and the ironies of success and failure.<br /><br />Anton Newcombe, the main man of Brian Jonestown Massacre, is widely recognised as a musical genius not only by his colleagues, his friends and rivals the Dandy Warhols, but also by record producers and most people who have worked with him. Sadly he and his band members are also incapable of integrating with the real world. Newcombe picks fights with band members on stage or with members of the audience (getting arrested at one point for literally kicking in the head of a fan). Newcombe knows no limits Â he plays between 40 and 100 different instruments, writes and produces all BJM's music, can produce enough songs to fill a whole album in a single day, has a prophet-like obsessiveness with his own musical genius, but is also a heavy drugs user, flies into rages at the slightest compromise of his own artistic integrity, orders his band members about as if they are lower forms of life, and can blow deals as fast as he makes them. BJM go through a large number of record labels in fast succession Â they sign them up as soon as they realise Newcombe's talents and let them go as soon as they realise he is totally uncontrollable.<br /><br />The Warhols acknowledge their debt to Newcombe's creativity and don't even put themselves in the same exalted sphere of greatness Â but the Warhols have something that BJM don't Â the ability to integrate their talents with common sense, the real world, and their market Â as a mixing pot of talent (even if much of it is distilled from guru Newcombe) and accessibility, they are the very definition of 'cool.' DiG! follows the parallel careers of the two bands with increasing poignancy. At one point, Newcombe pulls stunts designed to generate publicity by sending apparent death threats and hate messages to the Warhols (in a box containing live ammunition and insults like a bar of soap 'to clean up their act') Â only he forgets to tell them it's a stunt and they get so paranoid they take out a restraining order against Newcombe. By the time the Dandy Warhols take off in Europe with hits like 'Every Day Should Be A Holiday' and 'Bohemian Like You', Newcombe is becoming increasingly isolated. BJM are stopped and the band breaks up when they are arrested for possession of marijuana Â the Warhols get busted for drugs around the same time, let off with a warning, and even allowed to keep the grass.<br /><br />The wider appeal of DiG! is that the lessons of genius versus accessibility go way beyond two bands or even rock music. The downside is that it is still a documentary, however intimate, and it will mostly only appeal to dedicated film fans or people who are already interested in the music of one or both of the featured bands. Newcombe may well be a largely unrecognised genius, and there are feint glimpses of this in the film, but to the unattuned ear there is little more than the assertions of the people interviewed to attest to this. In the words of one of the band members: "In every spiritual tradition, you burn in hell for pretending to be God and not being able to back it up." Newcombe isn't pretending Â but numerically there are maybe still insufficient people to appreciate him in his own lifetime, and DiG! has an uphill struggle to rectify the balance in favour of a tortured but largely unrecognised genius.	A documentary about two rocks bands, spanning a number of years. Brian Jonestown Massacre and the Dandy Warhols. What makes it special is the examination of the complex contrasting personalities and the ironies of success and failure.<br /><br />Anton Newcombe, the main man of Brian Jonestown Massacre, is widely recognised as a musical genius not only by his colleagues, his friends and rivals the Dandy Warhols, but also by record producers and most people who have worked with him. Sadly he and his band members are also incapable of integrating with the real world. Newcombe picks fights with band members on stage or with members of the audience (getting arrested at one point for literally kicking in the head of a fan). Newcombe knows no limits Â he plays between 40 and 100 different instruments, writes and produces all BJM's music, can produce enough songs to fill a whole album in a single day, has a prophet-like obsessiveness with his own musical genius, but is also a heavy drugs user, flies into rages at the slightest compromise of his own artistic integrity, orders his band members about as if they are lower forms of life, and can blow deals as fast as he makes them. BJM go through a large number of record labels in fast succession Â they sign them up as soon as they realise Newcombe's talents and let them go as soon as they realise he is totally uncontrollable.<br /><br />The Warhols acknowledge their debt to Newcombe's creativity and don't even put themselves in the same exalted sphere of greatness Â but the Warhols have something that BJM don't Â the ability to integrate their talents with common sense, the real world, and their market Â as a mixing pot of talent (even if much of it is distilled from guru Newcombe) and accessibility, they are the very definition of 'cool.' DiG! follows the parallel careers of the two bands with increasing poignancy. At one point, Newcombe pulls stunts designed to generate publicity by sending apparent death threats and hate messages to the Warhols (in a box containing live ammunition and insults like a bar of soap 'to clean up their act') Â only he forgets to tell them it's a stunt and they get so paranoid they take out a restraining order against Newcombe. By the time the Dandy Warhols take off in Europe with hits like 'Every Day Should Be A Holiday' and 'Bohemian Like You', Newcombe is becoming increasingly isolated. BJM are stopped and the band breaks up when they are arrested for possession of marijuana Â the Warhols get busted for drugs around the same time, let off with a warning, and even allowed to keep the grass.<br /><br />The wider appeal of DiG! is that the lessons of genius versus accessibility go way beyond two bands or even rock music. The downside is that it is still a documentary, however intimate, and it will mostly only appeal to dedicated film fans or people who are already interested in the music of one or both of the featured bands. Newcombe may well be a largely unrecognised genius, and there are feint glimpses of this in the film, but to the unattuned ear there is little more than the assertions of the people interviewed to attest to this. In the words of one of the band members: "In every spiritual tradition, you burn in hell for pretending to be God and not being able to back it up." Newcombe isn't pretending Â but numerically there are maybe still insufficient people to appreciate him in his own lifetime, and DiG! has an uphill struggle to rectify the balance in favour of a tortured but largely unrecognised genius.
0	In a recent biography of Alec Guinness I couldn't find too much about To Paris With Love. I'm sure Guinness did the film to get a free trip to Paris out of it. The film has no other reason for existence.<br /><br />Paris of course is nicely photographed with that wonderful opening of Guinness and his son driving down the Champs Elysee with the Arc De Triomphe in the background. Unfortunately it goes downhill from there.<br /><br />There is just no chemistry at all between Guinness and the young girl who he has a brief fling with in Paris. According to the recent biography of Guinness by Piers Paul Read, Guinness positively disliked the girl, found her conduct unprofessional. As to what Odile Vernois thought of her co-star, no record is available. They have as much chemistry as two neutered cats.<br /><br />Guinness does have a good moment in the film which was straight from one of his Ealing comedies as he climbs a tree trying to retrieve a badminton shuttlecock. But I wouldn't wait through the film for it.<br /><br />At least Alec got a trip to Paris out of the deal.	In a recent biography of Alec Guinness I couldn't find too much about To Paris With Love. I'm sure Guinness did the film to get a free trip to Paris out of it. The film has no other reason for existence.<br /><br />Paris of course is nicely photographed with that wonderful opening of Guinness and his son driving down the Champs Elysee with the Arc De Triomphe in the background. Unfortunately it goes downhill from there.<br /><br />There is just no chemistry at all between Guinness and the young girl who he has a brief fling with in Paris. According to the recent biography of Guinness by Piers Paul Read, Guinness positively disliked the girl, found her conduct unprofessional. As to what Odile Vernois thought of her co-star, no record is available. They have as much chemistry as two neutered cats.<br /><br />Guinness does have a good moment in the film which was straight from one of his Ealing comedies as he climbs a tree trying to retrieve a badminton shuttlecock. But I wouldn't wait through the film for it.<br /><br />At least Alec got a trip to Paris out of the deal.
0	I saw most of the episodes of RMFTM as a teenager on "Cliffhanger Theater" running after midnight on a local station some years ago, and then again when Mystery Science Theatre riffed on it in the early 90's. Time has not been kind to it. <br /><br />I can certainly make allowances for the special effects, which were quite impressive for a low budget 50's serial (IMO Commando Cody's flying scenes were better than George Reeves/Superman's in his TV show). And I can also make allowances for the ahem, "acting", and fight choreography -. except for the guy who plays the ruler of the Moon Men. He is incredibly miscast. He looks and acts like the fellow who comes to fix your plumbing, not the despotic ruler of an alien race. Even the corny dialog works all right - everyone rattles off their lines like strings of firecrackers, with no wasted time or pauses for things like "thought" or "introspection". Since everyone does this, the viewer finds it immersive after awhile, and even to my modern sensibilities, it doesn't bother much. <br /><br />What really irritates me is the writing and the plotting. I'm not talking about the sunny weather on the moon, or baking soda powered rocket ships, or a flying suit that has controls labeled "up/down" and "fast/slow". I'm not even bothered by the cheesiness of the resolutions to the cliffhangers that end each chapter. I'm talking about the fact that our supposed heroes are dumber than fence posts and have no cumulative memory. And by the fact that although that the dialog clips along like an express train, the plot goes through the same motions again and again. <br /><br />Dig it: Commando Cody and his pal are the spearhead of a top secret hi tech science lab charged with protecting Earth (or at least the USA) against an insidious alien invasion. But his office has no guards or security checkpoints. They don't even have locks on the front doors. So the bad guys walk RIGHT IN and beat the crap out of the Cody and his staff ...not once (perhaps understandable) but SEVERAL times. They even kidnap his female assistant on the second try. And they never get any smarter. To further prove my point, allow me to point out the way that Cody jumps in his flying suit and flies around getting into trouble and never actually seems to succeed in catching anyone. He does this over and over and over. Cody also flies his ship to the Moon (the woman assistant comes along to cook), stays for about 30 seconds and immediately turns around and comes back. Cody captures one of the Atomic Ray guns...and immediately loses it again to the bad guys because he couldn't be bothered to lock it up. And so on.<br /><br />And you would think that if Cody's efforts were so vital to saving the USA from the Moon Men, that he might ask for a few soldiers with carbines, a few helicopters and a tank or two to back him up, instead of just working with the local police all the time. This was supposed to be a military operation, but they act like it's another episode of "Gangbusters". <br /><br />It's all rather hard to stomach. I appreciate that the creators were severely limited in the scope of their story by budget and time constraints...and I appreciate that Cody is actually a reasonably tough hombre (even though he loses half of his fistfights). But I just can't help yelling "DOOR! LOCK THE DOOOOR!!" when the gangsters simply walk into his lab, or try to blow up the ship and there are NO security measures at the landing site in place...not even a fence (!). <br /><br />Still, it's OK. Of the three Republic serials I've watched, "Phantom Creeps" had a better plot, and "Undersea Kingdom" had more atmosphere (hah!) and a better hero than "Radar Men", but it's an OK time-waster. <br /><br />BTW...why "Radar" men? They didn't use radar, they used Atomic Ray Guns. Shouldn't the title have been "Atomic Ray Gun Men From The Moon?"	I saw most of the episodes of RMFTM as a teenager on "Cliffhanger Theater" running after midnight on a local station some years ago, and then again when Mystery Science Theatre riffed on it in the early 90's. Time has not been kind to it. <br /><br />I can certainly make allowances for the special effects, which were quite impressive for a low budget 50's serial (IMO Commando Cody's flying scenes were better than George Reeves/Superman's in his TV show). And I can also make allowances for the ahem, "acting", and fight choreography -. except for the guy who plays the ruler of the Moon Men. He is incredibly miscast. He looks and acts like the fellow who comes to fix your plumbing, not the despotic ruler of an alien race. Even the corny dialog works all right - everyone rattles off their lines like strings of firecrackers, with no wasted time or pauses for things like "thought" or "introspection". Since everyone does this, the viewer finds it immersive after awhile, and even to my modern sensibilities, it doesn't bother much. <br /><br />What really irritates me is the writing and the plotting. I'm not talking about the sunny weather on the moon, or baking soda powered rocket ships, or a flying suit that has controls labeled "up/down" and "fast/slow". I'm not even bothered by the cheesiness of the resolutions to the cliffhangers that end each chapter. I'm talking about the fact that our supposed heroes are dumber than fence posts and have no cumulative memory. And by the fact that although that the dialog clips along like an express train, the plot goes through the same motions again and again. <br /><br />Dig it: Commando Cody and his pal are the spearhead of a top secret hi tech science lab charged with protecting Earth (or at least the USA) against an insidious alien invasion. But his office has no guards or security checkpoints. They don't even have locks on the front doors. So the bad guys walk RIGHT IN and beat the crap out of the Cody and his staff ...not once (perhaps understandable) but SEVERAL times. They even kidnap his female assistant on the second try. And they never get any smarter. To further prove my point, allow me to point out the way that Cody jumps in his flying suit and flies around getting into trouble and never actually seems to succeed in catching anyone. He does this over and over and over. Cody also flies his ship to the Moon (the woman assistant comes along to cook), stays for about 30 seconds and immediately turns around and comes back. Cody captures one of the Atomic Ray guns...and immediately loses it again to the bad guys because he couldn't be bothered to lock it up. And so on.<br /><br />And you would think that if Cody's efforts were so vital to saving the USA from the Moon Men, that he might ask for a few soldiers with carbines, a few helicopters and a tank or two to back him up, instead of just working with the local police all the time. This was supposed to be a military operation, but they act like it's another episode of "Gangbusters". <br /><br />It's all rather hard to stomach. I appreciate that the creators were severely limited in the scope of their story by budget and time constraints...and I appreciate that Cody is actually a reasonably tough hombre (even though he loses half of his fistfights). But I just can't help yelling "DOOR! LOCK THE DOOOOR!!" when the gangsters simply walk into his lab, or try to blow up the ship and there are NO security measures at the landing site in place...not even a fence (!). <br /><br />Still, it's OK. Of the three Republic serials I've watched, "Phantom Creeps" had a better plot, and "Undersea Kingdom" had more atmosphere (hah!) and a better hero than "Radar Men", but it's an OK time-waster. <br /><br />BTW...why "Radar" men? They didn't use radar, they used Atomic Ray Guns. Shouldn't the title have been "Atomic Ray Gun Men From The Moon?"
